n,rd_seed,t,p,nu_0,mu,gamma,precision,recall,F1,BIC,BIC_mean
1250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.2343217838661901,0.37500616438605167,0.2884212075181591,6593727.1897103945,6593727.1897103945
2500.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8561529649232229,0.35902287093963203,0.5058936878850007,12525178.744441193,12525178.744441193
3750.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.9876634374559057,0.3508073940167346,0.517701845222511,18719843.925927546,18719843.925927546
5000.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.996783365977922,0.3476502497501061,0.5154883428986485,24929218.75522045,24929218.75522045
6250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.9978115080005944,0.347261077569768,0.515211192929928,31138718.4166921,31138718.4166921
7500.0,12850.6,20.0,250.0,0.0005,0.001,1.0,0.9900372395354934,0.5242323569205098,0.685481193524503,37343868.012847416,37343868.01284741
