n,rd_seed,t,p,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.2362945719471214,0.37824568611339354,0.29087256997147726,212.56600589752196,6594130.270049908,6593727.1897103945
2500.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8569713827216436,0.35961380443714047,0.5066191393966377,191.50669946670533,12525095.048654586,12525178.744441193
3750.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.9886693951407868,0.35328677074774034,0.5205414305712679,191.50299601554872,18720053.467109513,18719843.925927546
5000.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.9968495068965986,0.3514379622021363,0.5196638384249619,189.9272614002228,24929495.36946534,24929218.75522045
6250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.9981799954775135,0.34936318816762524,0.5175730114112381,210.22743272781372,31138478.938775547,31138718.4166921
7500.0,12850.6,20.0,250.0,0.0005,0.001,1.0,0.9905524553418399,0.5277321281840591,0.6885980875255149,190.19528970718383,37343412.249292985,37343868.01284741
