n,rd_seed,t,p,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.5803162001332718,0.2873459326211997,0.3843500393204115,89.13448338508606,6354091.656389893,6353217.891452275
2500.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8803584418003666,0.2607641741988496,0.402345423116034,83.06626138687133,12535310.484003322,12534798.406379705
3750.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8915416119411098,0.25110928512736236,0.3918479717870554,82.99389233589173,18758915.949966796,18758491.825218815
5000.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8929669817186712,0.24884963023829085,0.3892267776387387,82.57355756759644,24987348.98317281,24986853.256293427
6250.0,12850.6,20.0,250.0,0.001,0.001,1.0,0.8937739685568469,0.24576828266228423,0.38552178496771383,85.21130456924439,31214867.41055999,31214629.572119404
7500.0,12850.6,20.0,250.0,0.0005,0.001,1.0,0.8901490503427869,0.3940221857025472,0.5462445105078968,84.22221655845642,37437943.70696343,37437580.6494839
