t,p,n,nu_0,mu,gamma,no_edges,bic value,Precision_1,Precision_2,Precision_3,precision_avg,Recall_1,Recall_2,Recall_3,recall_avg,F1_1,F1_2,F1_3,F1_avg,Time(sec),mask_diag
3,65,1000,0.0001,1e-08,1,6237.0,177848.79985327975,0.24895833333333334,0.27424400417101147,0.3,0.27440083362278567,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43008994276369583,0.4615384615384615,0.43051771117166204,2.5146963596343994,True
3,65,1000,0.0001,1.1226677735108136e-08,1,6237.0,177848.79985327975,0.24895833333333334,0.27424400417101147,0.3,0.27440083362278567,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43008994276369583,0.4615384615384615,0.43051771117166204,2.4046788215637207,True
3,65,1000,0.0001,1.2603829296797274e-08,1,6236.0,177825.19454698003,0.24895833333333334,0.2745302713987474,0.3,0.27449617790132036,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43044189852700493,0.4615384615384615,0.4306350504224584,2.4674324989318848,True
3,65,1000,0.0001,1.4149912974345759e-08,1,6236.0,177825.19454698003,0.24895833333333334,0.2745302713987474,0.3,0.27449617790132036,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43044189852700493,0.4615384615384615,0.4306350504224584,2.470425605773926,True
3,65,1000,0.0001,1.5885651294280526e-08,1,6236.0,177825.19454698003,0.24895833333333334,0.2745302713987474,0.3,0.27449617790132036,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43044189852700493,0.4615384615384615,0.4306350504224584,2.437582015991211,True
3,65,1000,0.0001,1.7834308769319092e-08,1,6236.0,177825.19454698003,0.24895833333333334,0.2745302713987474,0.3,0.27449617790132036,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3986655546288574,0.43044189852700493,0.4615384615384615,0.4306350504224584,2.4006295204162598,True
3,65,1000,0.0001,2.0022003718155845e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4452738761901855,True
3,65,1000,0.0001,2.2478058335487254e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.448671340942383,True
3,65,1000,0.0001,2.523539170434766e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4525320529937744,True
3,65,1000,0.0001,2.8330961018393243e-08,1,6235.0,177825.1945471004,0.2492179353493222,0.2745302713987474,0.3,0.2745915884602016,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.43044189852700493,0.4615384615384615,0.430752453653217,2.4642386436462402,True
