t,p,n,nu_0,mu,gamma,no_edges,bic value,Precision_1,Precision_2,Precision_3,precision_avg,Recall_1,Recall_2,Recall_3,recall_avg,F1,,,F1_avg,Time(sec),mask_diag
3,65,200,0.0001,1e-08,1,1788.0,(62726.91111958874-628.3185307244489j),0.23793103448275862,0.27586206896551724,0.296551724137931,0.27011494252873564,0.28870292887029286,0.30303030303030304,0.2986111111111111,0.2970922882427307,0.2608695652173913,0.2888086642599278,0.2975778546712803,0.2829620710415412,0.9365429878234863,True
3,65,200,0.0001,1.1226677735108136e-08,1,1930.5,(83674.41006722057+628.3185304946305j),0.2634146341463415,0.2975609756097561,0.32195121951219513,0.2943089430894309,0.22594142259414227,0.23106060606060605,0.22916666666666666,0.22882427307206069,0.24324324324324323,0.2601279317697228,0.26774847870182555,0.2574679943100996,1.322237491607666,True
3,65,200,0.0001,1.2603829296797274e-08,1,1013.5,39841.17509411722,0.2421875,0.296875,0.30078125,0.2799479166666667,0.2594142259414226,0.2878787878787879,0.2673611111111111,0.2718078381795196,0.2505050505050505,0.2923076923076923,0.2830882352941176,0.27581783194355364,0.6528184413909912,True
3,65,200,0.0001,1.4149912974345759e-08,1,2715.5,(103143.1675485388+1254.4851413846382j),0.25055432372505543,0.2777777777777778,0.3082039911308204,0.27884615384615385,0.47280334728033474,0.4734848484848485,0.4826388888888889,0.47661188369152974,0.32753623188405795,0.350140056022409,0.3761840324763193,0.3518432104526365,1.5442335605621338,True
3,65,200,0.0001,1.5885651294280526e-08,1,2157.0,(73693.2189041535+1257.7638485586065j),0.25663716814159293,0.2610619469026549,0.3008849557522124,0.2728613569321534,0.24267782426778242,0.22348484848484848,0.2361111111111111,0.23388116308470291,0.24946236559139784,0.24081632653061227,0.26459143968871596,0.25187202178352625,1.2860708236694336,True
3,65,200,0.0001,1.7834308769319092e-08,1,2751.5,85350.24365605402,0.27228915662650605,0.27053140096618356,0.30843373493975906,0.2837620578778135,0.47280334728033474,0.42424242424242425,0.4444444444444444,0.44627054361567636,0.345565749235474,0.3303834808259587,0.36415362731152207,0.3469287469287469,2.1915221214294434,True
3,65,200,0.0001,2.0022003718155845e-08,1,4224.5,(101477.28123722962+628.3185307179587j),0.255859375,0.27788649706457924,0.3046875,0.27947882736156354,0.5481171548117155,0.5378787878787878,0.5416666666666666,0.5423514538558787,0.3488681757656458,0.3664516129032258,0.39,0.3688736027515047,2.1921486854553223,True
3,65,200,0.0001,2.2478058335487254e-08,1,3278.0,(118987.88028100978+628.3185307031398j),0.25380710659898476,0.27735368956743,0.3096446700507614,0.2802709568162574,0.41841004184100417,0.4128787878787879,0.4236111111111111,0.41845764854614415,0.315955766192733,0.33181126331811267,0.35777126099706746,0.3356997971602434,1.6770102977752686,True
3,65,200,0.0001,2.523539170434766e-08,1,616.5,41072.3181629867,0.2708333333333333,0.3125,0.3177083333333333,0.3003472222222222,0.2175732217573222,0.22727272727272727,0.21180555555555555,0.21871049304677623,0.24129930394431556,0.2631578947368421,0.2541666666666667,0.2531089978054133,0.5818796157836914,True
3,65,200,0.0001,2.8330961018393243e-08,1,766.5,(41277.94650375028-1.8123520750426774j),0.2708333333333333,0.3125,0.3177083333333333,0.3003472222222222,0.2175732217573222,0.22727272727272727,0.21180555555555555,0.21871049304677623,0.24129930394431556,0.2631578947368421,0.2541666666666667,0.2531089978054133,0.599113941192627,True
3,65,200,0.0001,3.180625692794119e-08,1,3480.5,(83744.8421667162-12.464319729601511j),0.24803767660910517,0.27044025157232704,0.2967032967032967,0.2717277486910995,0.6610878661087866,0.6515151515151515,0.65625,0.6561314791403287,0.3607305936073059,0.3822222222222222,0.40864864864864864,0.3843021103295076,2.196481466293335,True
3,65,200,0.0001,3.570785964900463e-08,1,3611.0,92884.52841210316,0.2586805555555556,0.27304347826086955,0.3020833333333333,0.2779386218876665,0.6234309623430963,0.5946969696969697,0.6041666666666666,0.606826801517067,0.3656441717791411,0.3742550655542312,0.40277777777777773,0.3812549642573471,2.2114322185516357,True
3,65,200,0.0001,4.0088063288984644e-08,1,1443.0,46497.580596160326,0.23728813559322035,0.2824858757062147,0.2994350282485876,0.2730696798493409,0.3514644351464435,0.3787878787878788,0.3680555555555556,0.3666245259165613,0.28330522765598654,0.3236245954692557,0.3302180685358256,0.3130059363194819,0.9078803062438965,True
3,65,200,0.0001,4.5005576757004975e-08,1,2710.5,(71948.45121937321+628.3185307155018j),0.2421875,0.2682291666666667,0.2942708333333333,0.2682291666666667,0.3891213389121339,0.39015151515151514,0.3923611111111111,0.3906447534766119,0.2985553772070626,0.3179012345679012,0.3363095238095238,0.3180648481729285,1.3624532222747803,True
3,65,200,0.0001,5.05263106533568e-08,1,3926.0,(94265.98328093425-1263.5631036923205j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.2167577743530273,True
3,65,200,0.0001,5.672426068491978e-08,1,1689.0,(51219.54757712943-1257.2005367260215j),0.234375,0.2786458333333333,0.2890625,0.2673611111111111,0.37656903765690375,0.4053030303030303,0.3854166666666667,0.3893805309734513,0.28892455858747995,0.33024691358024694,0.33035714285714285,0.3170355120946989,1.133378028869629,True
3,65,200,0.0001,6.368249944718587e-08,1,2328.0,(54027.22756236681-3.742016008301313j),0.22991071428571427,0.265625,0.28794642857142855,0.2611607142857143,0.4309623430962343,0.45075757575757575,0.4479166666666667,0.44374209860935526,0.29985443959243085,0.33426966292134835,0.3505434782608695,0.3288056206088993,1.3819935321807861,True
3,65,200,0.0001,7.149428986597577e-08,1,3947.0,(99950.42912660874+628.31853070359j),0.2586805555555556,0.27304347826086955,0.3020833333333333,0.2779386218876665,0.6234309623430963,0.5946969696969697,0.6041666666666666,0.606826801517067,0.3656441717791411,0.3742550655542312,0.40277777777777773,0.3812549642573471,2.2301321029663086,True
3,65,200,0.0001,8.026433522257174e-08,1,3170.0,(83695.57354259575-3.2595659820484717j),0.24609375,0.26810176125244617,0.30078125,0.2716612377850163,0.5271966527196653,0.5189393939393939,0.5347222222222222,0.527180783817952,0.3355525965379494,0.35354838709677416,0.38499999999999995,0.35855546001719685,1.586674451828003,True
3,65,200,0.0001,9.011018251665018e-08,1,5247.5,(134957.9610138826+2.534886789362645e-07j),0.24879807692307693,0.27075812274368233,0.2956730769230769,0.2717434869739479,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.410958904109589,0.4392857142857142,0.4126597687157639,2.287032127380371,True
3,65,200,0.0001,1.011637979766207e-07,1,3863.0,(122242.62031533882+1272.809790421025j),0.2586805555555556,0.27304347826086955,0.3020833333333333,0.2779386218876665,0.6234309623430963,0.5946969696969697,0.6041666666666666,0.606826801517067,0.3656441717791411,0.3742550655542312,0.40277777777777773,0.3812549642573471,2.216656446456909,True
3,65,200,0.0001,1.1357333583431052e-07,1,4760.0,(115181.70299692416-628.3185307179583j),0.24879807692307693,0.27075812274368233,0.2956730769230769,0.2717434869739479,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.410958904109589,0.4392857142857142,0.4126597687157639,2.2628071308135986,True
3,65,200,0.0001,1.2750512407130128e-07,1,4421.0,(105443.26967283242-628.3185307179587j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.2534241676330566,True
3,65,200,0.0001,1.4314589375234786e-07,1,4185.5,(124362.1949856528-1892.3546033476491j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.2448277473449707,True
3,65,200,0.0001,1.6070528182616385e-07,1,4437.5,113567.40825995586,0.2565104166666667,0.27249022164276404,0.2994791666666667,0.2761615284411637,0.8242677824267782,0.7916666666666666,0.7986111111111112,0.8040455120101138,0.3912611717974181,0.405431619786615,0.4356060606060606,0.41111829347123463,2.2393088340759277,True
3,65,200,0.0001,1.804186409392072e-07,1,4185.5,(124362.1949856528-1892.3546033476491j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.226954936981201,True
3,65,200,0.0001,2.0255019392306663e-07,1,4421.0,(105465.26562394081+628.3185307179587j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.2199249267578125,True
3,65,200,0.0001,2.2739657523579275e-07,1,4433.0,(104814.79995555923-628.3185307179587j),0.2484375,0.27073552425665104,0.296875,0.2720166753517457,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3831672203765227,0.4094827586206896,0.385239852398524,2.225011110305786,True
3,65,200,0.0001,2.5529080682395163e-07,1,4437.5,113567.40825995586,0.2565104166666667,0.27249022164276404,0.2994791666666667,0.2761615284411637,0.8242677824267782,0.7916666666666666,0.7986111111111112,0.8040455120101138,0.3912611717974181,0.405431619786615,0.4356060606060606,0.41111829347123463,2.242372512817383,True
3,65,200,0.0001,2.8660676169482504e-07,1,5663.5,(156243.86596313686+6.220606135869077e-06j),0.24869791666666666,0.27676240208877284,0.3020833333333333,0.2758470894874023,0.799163179916318,0.803030303030303,0.8055555555555556,0.8027812895069533,0.37934458788480635,0.4116504854368932,0.43939393939393945,0.4106045910119625,2.26835298538208,True
3,65,200,0.0001,3.2176417502507355e-07,1,4420.5,(105399.27863290701-628.3185307179587j),0.2484375,0.2711598746081505,0.296875,0.2721584984358707,0.6652719665271967,0.6553030303030303,0.6597222222222222,0.6599241466498104,0.36177474402730375,0.3835920177383592,0.4094827586206896,0.3853820598006644,2.204113483428955,True
3,65,200,0.0001,3.6123426997094305e-07,1,5247.0,(126095.67071892142+628.3185307179587j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.26662015914917,True
3,65,200,0.0001,4.0554607358408276e-07,1,4752.0,(119144.04993616857-9.427333225175971e-08j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.2592194080352783,True
3,65,200,0.0001,4.5529350748669477e-07,1,5247.0,(126095.67071892142+628.3185307179587j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.278787612915039,True
3,65,200,0.0001,5.111433483440166e-07,1,5247.0,(126095.67071892142+628.3185307179587j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.2709546089172363,True
3,65,200,0.0001,5.738441648302393e-07,1,5259.0,(125227.31782200818+628.3185307179587j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.2683942317962646,True
3,65,200,0.0001,6.44236350872137e-07,1,5663.5,(156243.86596313686+6.220606135869077e-06j),0.24869791666666666,0.27676240208877284,0.3020833333333333,0.2758470894874023,0.799163179916318,0.803030303030303,0.8055555555555556,0.8027812895069533,0.37934458788480635,0.4116504854368932,0.43939393939393945,0.4106045910119625,2.2767491340637207,True
3,65,200,0.0001,7.232633896483533e-07,1,5663.5,(156243.86596313686+6.220606135869077e-06j),0.24869791666666666,0.27676240208877284,0.3020833333333333,0.2758470894874023,0.799163179916318,0.803030303030303,0.8055555555555556,0.8027812895069533,0.37934458788480635,0.4116504854368932,0.43939393939393945,0.4106045910119625,2.252453088760376,True
3,65,200,0.0001,8.119844993184009e-07,1,5259.0,(125227.31782200818+628.3185307179587j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.2798221111297607,True
3,65,200,0.0001,9.115888299750819e-07,1,4752.0,(119144.04993616857-9.427333225175971e-08j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.242223024368286,True
3,65,200,0.0001,1.0234114021054527e-06,1,4752.0,(119144.04993616857-9.427333225175971e-08j),0.24879807692307693,0.2710843373493976,0.2956730769230769,0.2718524458700882,0.8661087866108786,0.8522727272727273,0.8541666666666666,0.8571428571428571,0.38655462184873945,0.41133455210237657,0.4392857142857142,0.41278538812785387,2.258187770843506,True
