rd_seed,T,n/p,p,lambda(sparsity),mu0(thresh),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1998,10,20,250,3.331295e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.100 
1998,10,20,250,3.072113e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,2.833096e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,2.612675e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,2.409404e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,2.221947e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,2.049075e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,1.889652e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.103 
1998,10,20,250,1.742633e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.103 
1998,10,20,250,1.607053e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,1.482021e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.100 
1998,10,20,250,1.366716e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.103 
1998,10,20,250,1.260383e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.103 
1998,10,20,250,1.162322e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,1.071891e-02,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,9.884959e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,9.115888e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,8.406653e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,7.752597e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,7.149429e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.100 
1998,10,20,250,6.593188e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.100 
1998,10,20,250,6.080224e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,5.607170e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,5.170920e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,4.768612e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.100 
1998,10,20,250,4.397604e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.102 
1998,10,20,250,4.055461e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,3.739937e-03,5.000000e-04,1.000000e+00,12559426.011,0.000,NaN,NaN,21.552,0.831,0.101 
1998,10,20,250,3.448962e-03,5.000000e-04,1.000000e+00,12559560.264,0.004,1.000,0.008,21.552,0.831,0.101 
1998,10,20,250,3.180626e-03,5.000000e-04,1.000000e+00,12559693.293,0.016,0.975,0.031,21.552,0.831,0.102 
1998,10,20,250,2.933166e-03,5.000000e-04,1.000000e+00,12558338.063,0.025,0.957,0.049,21.552,0.831,0.102 
1998,10,20,250,2.704960e-03,5.000000e-04,1.000000e+00,12557552.853,0.068,0.922,0.127,21.552,0.831,0.103 
1998,10,20,250,2.494508e-03,5.000000e-04,1.000000e+00,12551564.401,0.077,0.922,0.142,21.552,0.831,0.101 
1998,10,20,250,2.300430e-03,5.000000e-04,1.000000e+00,12545830.614,0.092,0.915,0.167,21.552,0.830,0.101 
1998,10,20,250,2.121452e-03,5.000000e-04,1.000000e+00,12539858.733,0.108,0.901,0.192,21.552,0.830,0.102 
1998,10,20,250,1.956398e-03,5.000000e-04,1.000000e+00,12533488.522,0.118,0.894,0.208,21.552,0.830,0.101 
1998,10,20,250,1.804186e-03,5.000000e-04,1.000000e+00,12527821.858,0.136,0.884,0.236,21.552,0.830,0.100 
1998,10,20,250,1.663817e-03,5.000000e-04,1.000000e+00,12524103.197,0.177,0.888,0.295,21.552,0.830,0.101 
1998,10,20,250,1.534368e-03,5.000000e-04,1.000000e+00,12520238.883,0.218,0.877,0.349,21.552,0.830,0.100 
1998,10,20,250,1.414991e-03,5.000000e-04,1.000000e+00,12515364.664,0.259,0.875,0.400,21.552,0.829,0.100 
1998,10,20,250,1.304902e-03,5.000000e-04,1.000000e+00,12508917.715,0.279,0.879,0.423,21.552,0.829,0.101 
1998,10,20,250,1.203378e-03,5.000000e-04,1.000000e+00,12504943.906,0.319,0.867,0.466,21.552,0.829,0.100 
1998,10,20,250,1.109752e-03,5.000000e-04,1.000000e+00,12500922.186,0.355,0.858,0.502,21.552,0.829,0.101 
1998,10,20,250,1.023411e-03,5.000000e-04,1.000000e+00,12496815.028,0.390,0.859,0.536,21.552,0.829,0.100 
1998,10,20,250,9.437878e-04,5.000000e-04,1.000000e+00,12493011.329,0.413,0.844,0.555,21.552,0.828,0.101 
1998,10,20,250,8.703591e-04,5.000000e-04,1.000000e+00,12490526.911,0.440,0.817,0.572,21.552,0.828,0.100 
1998,10,20,250,8.026434e-04,5.000000e-04,1.000000e+00,12486735.001,0.459,0.817,0.588,21.552,0.828,0.100 
1998,10,20,250,7.401960e-04,5.000000e-04,1.000000e+00,12486816.064,0.498,0.791,0.611,21.552,0.828,0.101 
1998,10,20,250,6.826072e-04,5.000000e-04,1.000000e+00,12485022.413,0.518,0.776,0.622,21.552,0.828,0.101 
1998,10,20,250,6.294989e-04,5.000000e-04,1.000000e+00,12485845.863,0.553,0.751,0.637,21.552,0.828,0.101 
1998,10,20,250,5.805226e-04,5.000000e-04,1.000000e+00,12485664.021,0.573,0.730,0.642,21.552,0.827,0.101 
1998,10,20,250,5.353567e-04,5.000000e-04,1.000000e+00,12486987.027,0.594,0.699,0.642,21.552,0.827,0.101 
1998,10,20,250,4.937048e-04,5.000000e-04,1.000000e+00,12489684.502,0.635,0.683,0.658,21.552,0.827,0.103 
1998,10,20,250,4.552935e-04,5.000000e-04,1.000000e+00,12491682.697,0.651,0.652,0.652,21.552,0.827,0.103 
1998,10,20,250,4.198707e-04,5.000000e-04,1.000000e+00,12493290.278,0.670,0.634,0.651,21.552,0.827,0.104 
1998,10,20,250,3.872039e-04,5.000000e-04,1.000000e+00,12498347.143,0.694,0.599,0.643,21.552,0.827,0.104 
