rd_seed,Alg,perturb_strength,t,p,n_by_p,Cat,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.1085324232081911,0.7429906542056075,0.1893984514592019,34.41398596763611,295518.16967653704,296528.97598359786
1340,Cat_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.1078965282505105,0.7406542056074766,0.1883541295306001, ,297539.7822906587,
1340,Direct_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.2567532801646514,0.7772585669781932,0.3859988396828466,10.644715309143066,132611.00776885758,133232.25808520045
1340,Direct_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.2553680981595092,0.7780373831775701,0.384526558891455,10.656787872314453,133853.50840154328,
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8321167883211679,0.5327102803738317,0.6495726495726496,34.616554498672485,42709.37553578129,43373.17795948361
1340,Cat_alg,0.05,5,250,20.0,Cat2,0.0005,0.001,1,0.833939393939394,0.5358255451713395,0.6524419155998102, ,44036.98038318594,
1340,Direct_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.9309153713298792,0.4197819314641745,0.5786366076221149,10.612818002700806,28734.107044462584,29225.68031965789
1340,Direct_alg,0.05,5,250,20.0,Cat2,0.0005,0.001,1,0.9112227805695142,0.4236760124610592,0.5784157363104732,10.505418062210083,29717.2535948532,
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0001,0.0001,1,0.0185659307923932,0.8979750778816199,0.0363796993074289,34.60469889640808,2016853.6150911348,2017105.4623873536
1340,Cat_alg,0.05,5,250,20.0,Cat2,0.0001,0.0001,1,0.0185259766411598,0.8956386292834891,0.0363010779841853, ,2017357.3096835725,
1340,Direct_alg,0.05,5,250,20.0,Cat1,0.0001,0.0001,1,0.0296156108539423,0.9018691588785048,0.0573480252569023,10.605199098587036,1238918.0188055043,1240403.9332851265
1340,Direct_alg,0.05,5,250,20.0,Cat2,0.0001,0.0001,1,0.0295296189479594,0.9010903426791276,0.0571852217966143,10.589162826538086,1241889.8477647486,
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0001,0.001,1,0.173705471905986,0.7367601246105919,0.2811292719167905,34.44911050796509,207869.34616553213,208483.71483050217
1340,Cat_alg,0.05,5,250,20.0,Cat2,0.0001,0.001,1,0.1738012125665993,0.7367601246105919,0.2812546454585997, ,209098.08349547212,
1340,Direct_alg,0.05,5,250,20.0,Cat1,0.0001,0.001,1,0.8095238095238095,0.6090342679127726,0.6951111111111112,10.586891174316406,46660.34282308046,47119.2900447548
1340,Direct_alg,0.05,5,250,20.0,Cat2,0.0001,0.001,1,0.8081632653061225,0.616822429906542,0.6996466431095406,10.644255638122559,47578.237266429154,
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.10853242320819112,0.7429906542056075,0.1893984514592019,36.51754665374756,295518.16967653704,296528.97598359786
1340,Cat_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.10789652825051055,0.7406542056074766,0.1883541295306001, ,297539.7822906587
1340,Direct_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.2567532801646514,0.7772585669781932,0.3859988396828466,11.121047735214233,132611.00776885758,133232.25808520045
1340,Direct_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.2553680981595092,0.7780373831775701,0.38452655889145504,11.29590392112732,133853.50840154328
