rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
10195,Cat_alg,20,250,7500.0,Cat1,0.0001,0.0001,1,0.0477566964285714,0.8790057518488086,0.0905915230554261,188.61842679977417,42293181.65512961,42291622.2341958
10195,Cat_alg,20,250,7500.0,Cat2,0.0001,0.0001,1,0.0476589516259685,0.8777652021812944,0.0904090716405256, ,42290062.81326199,
10195,Direct_alg,20,250,7500.0,Cat1,0.0001,0.0001,1,0.0945331584185289,0.8585661462612982,0.1703137734311328,82.67636752128601,39813598.72855893,39815668.26393173
10195,Direct_alg,20,250,7500.0,Cat2,0.0001,0.0001,1,0.0944400497231325,0.8598621257331001,0.1701880683033123,83.31579327583313,39817737.79930453,
10195,Cat_alg,20,250,7500.0,Cat1,0.0001,0.001,1,0.6452282157676349,0.7027526705012326,0.672763028515241,185.86923575401306,37460814.01609916,37461422.92103176
10195,Cat_alg,20,250,7500.0,Cat2,0.0001,0.001,1,0.6442335073564309,0.6983228727235312,0.6701886047200553, ,37462031.82596436,
10195,Direct_alg,20,250,7500.0,Cat1,0.0001,0.001,1,0.8642800318217979,0.5579293344289236,0.6781099806503964,85.38438057899475,37462645.31713655,37462034.684771255
10195,Direct_alg,20,250,7500.0,Cat2,0.0001,0.001,1,0.8655284552845528,0.5476900915732071,0.6708677295355724,85.3023943901062,37461424.05240595,
10195,Cat_alg,20,250,7500.0,Cat1,0.0005,0.0001,1,0.4036930178880554,0.7185702547247329,0.5169585457769895,185.72207140922546,37662620.01712996,37663682.85990514
10195,Cat_alg,20,250,7500.0,Cat2,0.0005,0.0001,1,0.401790355183367,0.7158143841959049,0.5146852112155064, ,37664745.70268033,
10195,Direct_alg,20,250,7500.0,Cat1,0.0005,0.0001,1,0.5088228886791083,0.7197000821692687,0.5961628451099672,84.42672634124756,37692881.01911981,37691856.15861581
10195,Direct_alg,20,250,7500.0,Cat2,0.0005,0.0001,1,0.5113686372304532,0.7173577528552321,0.5970967327538218,84.27974367141724,37690831.29811182,
10195,Cat_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.99154983675821,0.5302999178307313,0.691025898413973,185.78441786766052,37349890.699604295,37350378.18688242
10195,Cat_alg,20,250,7500.0,Cat2,0.0005,0.001,1,0.989644392340758,0.5211441506327812,0.6827525780144235, ,37350865.67416056,
10195,Direct_alg,20,250,7500.0,Cat1,0.0005,0.001,1,0.890758239225628,0.3969802793755135,0.5492007104795738,83.38331532478333,37444962.930094376,37444464.0697753
10195,Direct_alg,20,250,7500.0,Cat2,0.0005,0.001,1,0.8884150675195451,0.3858421648317728,0.5380200860832137,82.68245100975037,37443965.20945622,
10195,Cat_alg,20,250,7500.0,Cat1,0.001,0.0001,1,0.9363957597173144,0.5171528348397699,0.6663137696023291,189.99211239814758,37390326.4164541,37390135.05263694
10195,Cat_alg,20,250,7500.0,Cat2,0.001,0.0001,1,0.9368480940641,0.5082827451383887,0.6590181430096052, ,37389943.68881978,
10195,Direct_alg,20,250,7500.0,Cat1,0.001,0.0001,1,0.6124031007751938,0.5111955628594905,0.5572412248782399,82.50229477882385,37577628.86913742,37575902.83071653
10195,Direct_alg,20,250,7500.0,Cat2,0.001,0.0001,1,0.6103634762922903,0.4993312069142916,0.5492925863044709,82.3777596950531,37574176.79229564,
10195,Cat_alg,20,250,7500.0,Cat1,0.001,0.001,1,0.9991171277221896,0.3487058340180772,0.5169788335617481,192.4469439983368,37353001.50794327,37353234.11998352
10195,Cat_alg,20,250,7500.0,Cat2,0.001,0.001,1,0.9984944293887384,0.3411873649552423,0.5085889570552148, ,37353466.732023776,
10195,Direct_alg,20,250,7500.0,Cat1,0.001,0.001,1,0.8910520404342943,0.2444535743631881,0.3836543886515677,82.35390567779541,37448720.24866228,37448597.81283291
10195,Direct_alg,20,250,7500.0,Cat2,0.001,0.001,1,0.8887212372689551,0.2424117707583084,0.3809215844785771,82.33266878128052,37448475.377003536,
