rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min)
1337,20,2000,60000.0,0.001,0.0001,1,2379955791.0622225,0.8173081972378302,0.39105527638190957,0.5290009007018678,63.71172046948535
1337,20,2000,60000.0,0.0001,0.0001,1,2363780561.745313,0.5755338572676034,0.9108040201005025,0.7053558398599018,65.59329516494957
1337,20,2000,60000.0,0.0005,0.0001,1,2369335457.54407,0.6849646547036433,0.6329899497487437,0.6579524680073126,66.2988348312676
1337,20,2000,60000.0,0.0002,0.0001,1,2364755391.661765,0.5806893951080715,0.8512060301507538,0.6903944325001783,68.6254239271395
1337,20,2000,60000.0,0.001,0.0002,1,2379995338.9711475,0.8671068427370948,0.362964824120603,0.5117251151257527,63.411041395490365
1337,20,2000,60000.0,0.0001,0.0002,1,2363368439.527121,0.6758778949804269,0.8806281407035176,0.7647861047164974,65.03134156757345
1337,20,2000,60000.0,0.0005,0.0002,1,2369187467.912772,0.7628693611137906,0.5961306532663316,0.6692712373591345,65.94065852033285
1337,20,2000,60000.0,0.0002,0.0002,1,2364316846.2646537,0.6861326296075594,0.8100502512562814,0.7429598562013181,68.43964862948438
1337,20,2000,60000.0,0.001,0.0005,1,2380263142.9422226,0.9145428365730741,0.3191708542713568,0.47319798845222577,63.39893834443453
1337,20,2000,60000.0,0.0001,0.0005,1,2363077552.3518577,0.8014731241070109,0.8174623115577889,0.8093887603552504,65.44704589309792
1337,20,2000,60000.0,0.0005,0.0005,1,2369200706.428329,0.8538863826899278,0.5374120603015076,0.6596555074095206,65.37346625236484
1337,20,2000,60000.0,0.0002,0.0005,1,2364024229.107472,0.8268368986217975,0.7371105527638191,0.7793998485673675,68.29549997664678
1337,20,2000,60000.0,0.001,0.001,1,2380810265.3095703,0.9440589394328793,0.27688442211055275,0.4281856507295086,63.35236215717935
1337,20,2000,60000.0,0.0001,0.001,1,2363086279.494857,0.8739211123221492,0.7454020100502513,0.8045615414864333,65.95174859060596
1337,20,2000,60000.0,0.0005,0.001,1,2369466700.7979183,0.9099222896133434,0.4824874371859296,0.6305989754367529,66.16550321819571
1337,20,2000,60000.0,0.0002,0.001,1,2364167365.3958883,0.8867880250762681,0.6646231155778894,0.7597983598787862,68.6723406835304
1337,20,2000,60000.0,0.001,0.001,1,2380810265.3095703,0.9440589394328793,0.27688442211055275,0.4281856507295086,63.91145460190407
1337,20,2000,60000.0,0.0001,0.001,1,2363086279.494857,0.8739211123221492,0.7454020100502513,0.8045615414864333,65.5578054625541
1337,20,2000,60000.0,0.0005,0.001,1,2369466700.7979183,0.9099222896133434,0.4824874371859296,0.6305989754367529,65.6309489292403
1337,20,2000,60000.0,0.0002,0.001,1,2364167365.3958883,0.8867880250762681,0.6646231155778894,0.7597983598787862,66.64676652497923
