T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,200,2000,1000,0.1,0,NA,NA,Inf,17.602,0
1,200,2000,911.588829975082,0.1,0,NA,NA,Inf,16.457,0
1,200,2000,830.99419493534,0.1,0,NA,NA,Inf,16.396,0
1,200,2000,757.525025877191,0.1,0,NA,NA,Inf,16.8,0
1,200,2000,690.551352016233,0.1,0,NA,NA,Inf,16.552,0
1,200,2000,629.498899022189,0.1,0,NA,NA,Inf,16.225,0
1,200,2000,573.844164830239,0.1,0,NA,NA,Inf,16.088,0
1,200,2000,523.109930805626,0.1,0,NA,NA,Inf,16.445,0
1,200,2000,476.861169771447,0.1,0,NA,NA,Inf,16.27,0
1,200,2000,434.701315812503,0.1,0,NA,NA,Inf,16.168,0
1,200,2000,396.268863870148,0.1,0,NA,NA,Inf,16.417,0
1,200,2000,361.234269970943,0.1,0,NA,NA,Inf,16.311,0
1,200,2000,329.297125509715,0.1,0,NA,NA,Inf,16.349,0
1,200,2000,300.183581357559,0.1,0,NA,NA,Inf,16.296,0
1,200,2000,273.643999707467,0.1,0,NA,NA,Inf,16.474,0
1,200,2000,249.450813523032,0.1,0,NA,NA,Inf,16.474,0
1,200,2000,227.396575235793,0.1,0,NA,NA,Inf,16.605,0
1,200,2000,207.292177959537,0.1,0,NA,NA,Inf,17.044,0
1,200,2000,188.965233969121,0.1,0,NA,NA,Inf,16.695,0
1,200,2000,172.258596539879,0.1,0,NA,NA,Inf,16.588,0
1,200,2000,157.029012472938,0.1,0,NA,NA,Inf,16.638,0
1,200,2000,143.145893752348,0.1,0,NA,NA,Inf,16.544,0
1,200,2000,130.49019780144,0.1,0,NA,NA,Inf,16.568,0
1,200,2000,118.953406737032,0.1,0,NA,NA,Inf,17.017,0
1,200,2000,108.436596868961,0.1,0,NA,NA,Inf,16.519,0
1,200,2000,98.8495904662559,0.1,0,NA,NA,Inf,16.576,0
1,200,2000,90.1101825166502,0.1,0,NA,NA,Inf,16.286,0
1,200,2000,82.1434358491943,0.1,0,NA,NA,Inf,16.154,0
1,200,2000,74.8810385759002,0.1,0,NA,NA,Inf,16.337,0
1,200,2000,68.2607183427239,0.1,0,NA,NA,Inf,16.409,0
1,200,2000,62.2257083673023,0.1,0,NA,NA,Inf,16.387,0
1,200,2000,56.7242606849198,0.1,0,NA,NA,Inf,16.452,0
1,200,2000,51.7092024289676,0.1,0,NA,NA,Inf,16.391,0
1,200,2000,47.1375313411672,0.1,0,NA,NA,Inf,16.268,0
1,200,2000,42.9700470432084,0.1,0,NA,NA,Inf,16.232,0
1,200,2000,39.1710149080926,0.1,0,NA,NA,Inf,16.297,0
1,200,2000,35.7078596490046,0.1,0,NA,NA,Inf,16.6609999999999,0
1,200,2000,32.5508859983506,0.1,0,NA,NA,Inf,16.431,0
1,200,2000,29.6730240818887,0.1,0,NA,NA,Inf,16.417,0
1,200,2000,27.0495973046313,0.1,0,NA,NA,Inf,16.198,0
1,200,2000,24.658110758226,0.1,0,NA,NA,Inf,16.396,0
1,200,2000,22.4780583354873,0.1,0,NA,NA,Inf,16.202,0
