rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1339,Cat_alg,3,250,5000.0,Cat1,0.0005,0.0001,1,0.1926954222442571,0.7986301369863014,0.3104779656503794,22.282083988189697,3863898.9290626873,3864293.048613912
1339,Cat_alg,3,250,5000.0,Cat2,0.0005,0.0001,1,0.1887314769581501,0.794379712131597,0.305, ,3864687.168165137,
1339,Direct_alg,3,250,5000.0,Cat1,0.0005,0.0001,1,0.2802118440057776,0.7972602739726027,0.4146775917349484,8.074077606201172,3828912.60551784,3828630.762853131
1339,Direct_alg,3,250,5000.0,Cat2,0.0005,0.0001,1,0.2784445511281805,0.7950651130911583,0.4124444444444444,8.024375200271606,3828348.9201884223,
1339,Cat_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.892,0.6109589041095891,0.7252032520325205,22.610321521759033,3727110.046351578,3726138.913863828
1339,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8820564516129032,0.5997258396161754,0.7139942880456956, ,3725167.781376078,
1339,Direct_alg,3,250,5000.0,Cat1,0.0005,0.001,1,0.7203883495145631,0.5082191780821917,0.5959839357429718,8.230712175369263,3742264.393516182,3742047.232165572
1339,Direct_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.6934097421203438,0.4976010966415353,0.5794094173982443,8.232516527175903,3741830.0708149616,
1339,Cat_alg,3,250,5000.0,Cat1,0.0001,0.0001,1,0.0344560987552508,0.9157534246575344,0.0664133323398653,22.73951506614685,4810503.601214709,4810227.356437167
1339,Cat_alg,3,250,5000.0,Cat2,0.0001,0.0001,1,0.0342705597610587,0.912268677176148,0.0660595081519716, ,4809951.111659625,
1339,Direct_alg,3,250,5000.0,Cat1,0.0001,0.0001,1,0.0479385697369837,0.915068493150685,0.0911043676906815,8.211545944213867,4513987.618755338,4515062.4116836805
1339,Direct_alg,3,250,5000.0,Cat2,0.0001,0.0001,1,0.0476547976547976,0.9136394790952708,0.0905847575685501,8.221940040588379,4516137.204612022,
1339,Cat_alg,3,250,5000.0,Cat1,0.0001,0.001,1,0.2608294930875576,0.7753424657534247,0.3903448275862068,22.060642957687378,3811504.943888493,3810752.965798209
1339,Cat_alg,3,250,5000.0,Cat2,0.0001,0.001,1,0.2574189095928226,0.7669636737491432,0.3854633138132965, ,3810000.987707925,
1339,Direct_alg,3,250,5000.0,Cat1,0.0001,0.001,1,0.6383257030739045,0.6684931506849315,0.653061224489796,8.037052154541016,3751879.9838385982,3751167.9988089567
1339,Direct_alg,3,250,5000.0,Cat2,0.0001,0.001,1,0.6286279683377308,0.6531871144619602,0.640672268907563,7.993710994720459,3750456.013779315,
