rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1339,5,2000,1.000000e-04,1.000000e-04,1.000000e+00,519726118.752,0.894,0.012,0.024,93.009,0.897,26.622 
1339,5,2000,5.000000e-04,1.000000e-04,1.000000e+00,408530082.069,0.503,0.886,0.641,93.009,0.898,20.655 
1339,5,2000,1.000000e-03,1.000000e-04,1.000000e+00,410292980.433,0.262,0.941,0.410,93.009,0.899,21.295 
1339,5,2000,5.000000e-03,1.000000e-04,1.000000e+00,413271834.488,0.000,NaN,NaN,93.009,0.900,20.951 
1339,5,2000,1.000000e-04,2.000000e-04,1.000000e+00,507745378.699,0.890,0.014,0.027,93.033,0.898,27.301 
1339,5,2000,5.000000e-04,2.000000e-04,1.000000e+00,406968793.792,0.494,0.884,0.634,93.033,0.899,21.320 
1339,5,2000,1.000000e-03,2.000000e-04,1.000000e+00,408698169.027,0.255,0.942,0.402,93.033,0.900,21.848 
1339,5,2000,5.000000e-03,2.000000e-04,1.000000e+00,411526528.192,0.000,NaN,NaN,93.033,0.901,22.651 
1339,5,2000,1.000000e-04,5.000000e-04,1.000000e+00,473049610.479,0.884,0.019,0.038,93.092,0.902,24.339 
1339,5,2000,5.000000e-04,5.000000e-04,1.000000e+00,403627862.312,0.482,0.884,0.624,93.092,0.903,21.546 
1339,5,2000,1.000000e-03,5.000000e-04,1.000000e+00,405261321.433,0.240,0.942,0.382,93.092,0.904,21.382 
1339,5,2000,5.000000e-03,5.000000e-04,1.000000e+00,407740320.530,0.000,NaN,NaN,93.092,0.904,21.260 
1339,5,2000,1.000000e-04,1.000000e-03,1.000000e+00,430648835.882,0.875,0.042,0.081,93.161,0.906,23.784 
1339,5,2000,5.000000e-04,1.000000e-03,1.000000e+00,400611942.340,0.458,0.883,0.603,93.161,0.907,21.647 
1339,5,2000,1.000000e-03,1.000000e-03,1.000000e+00,402137824.207,0.216,0.943,0.351,93.161,0.908,21.493 
1339,5,2000,5.000000e-03,1.000000e-03,1.000000e+00,404247635.251,0.000,NaN,NaN,93.161,0.908,21.031 
1339,5,2000,1.000000e-04,1.000000e-02,1.000000e+00,413027746.491,0.708,0.066,0.121,93.391,0.917,34.247 
1339,5,2000,5.000000e-04,1.000000e-02,1.000000e+00,398261139.550,0.307,0.891,0.457,93.391,0.917,23.183 
1339,5,2000,1.000000e-03,1.000000e-02,1.000000e+00,399400058.095,0.116,0.940,0.206,93.391,0.918,23.364 
1339,5,2000,5.000000e-03,1.000000e-02,1.000000e+00,400229270.857,0.000,NaN,NaN,93.391,0.918,23.139 
