rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1339,10,2000,1.000000e-04,1.000000e-04,1.000000e+00,810392187.222,0.819,0.093,0.167,93.148,0.906,26.558 
1339,10,2000,5.000000e-04,1.000000e-04,1.000000e+00,801471745.958,0.334,0.918,0.490,93.148,0.907,23.059 
1339,10,2000,1.000000e-03,1.000000e-04,1.000000e+00,805703218.453,0.116,0.960,0.206,93.148,0.908,22.712 
1339,10,2000,5.000000e-03,1.000000e-04,1.000000e+00,808097395.182,0.000,NaN,NaN,93.148,0.908,24.047 
1339,10,2000,1.000000e-04,2.000000e-04,1.000000e+00,808556102.322,0.814,0.099,0.177,93.160,0.907,25.542 
1339,10,2000,5.000000e-04,2.000000e-04,1.000000e+00,800627716.432,0.332,0.920,0.487,93.160,0.908,23.563 
1339,10,2000,1.000000e-03,2.000000e-04,1.000000e+00,804792396.804,0.112,0.960,0.201,93.160,0.909,23.139 
1339,10,2000,5.000000e-03,2.000000e-04,1.000000e+00,807086464.878,0.000,NaN,NaN,93.160,0.909,24.514 
1339,10,2000,1.000000e-04,5.000000e-04,1.000000e+00,803094754.973,0.813,0.139,0.238,93.191,0.909,25.723 
1339,10,2000,5.000000e-04,5.000000e-04,1.000000e+00,798827380.196,0.325,0.920,0.480,93.191,0.910,23.663 
1339,10,2000,1.000000e-03,5.000000e-04,1.000000e+00,802822457.306,0.103,0.962,0.186,93.191,0.911,23.046 
1339,10,2000,5.000000e-03,5.000000e-04,1.000000e+00,804884871.172,0.000,NaN,NaN,93.191,0.911,24.777 
1339,10,2000,1.000000e-04,1.000000e-03,1.000000e+00,796733189.197,0.801,0.292,0.428,93.228,0.911,26.418 
1339,10,2000,5.000000e-04,1.000000e-03,1.000000e+00,797280896.331,0.313,0.918,0.467,93.228,0.912,23.662 
1339,10,2000,1.000000e-03,1.000000e-03,1.000000e+00,801078445.847,0.096,0.963,0.174,93.228,0.913,23.129 
1339,10,2000,5.000000e-03,1.000000e-03,1.000000e+00,802879276.107,0.000,NaN,NaN,93.228,0.913,23.892 
1339,10,2000,1.000000e-04,1.000000e-02,1.000000e+00,794223042.810,0.637,0.603,0.620,93.384,0.917,24.588 
1339,10,2000,5.000000e-04,1.000000e-02,1.000000e+00,797096222.051,0.210,0.925,0.342,93.384,0.917,20.552 
1339,10,2000,1.000000e-03,1.000000e-02,1.000000e+00,799802768.136,0.049,0.968,0.094,93.384,0.918,19.789 
1339,10,2000,5.000000e-03,1.000000e-02,1.000000e+00,800482010.975,0.000,NaN,NaN,93.384,0.918,20.857 
