t,rd_seed,p,n,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
3,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.7951990714736801,0.6066824032492326,0.6882515454887718,8.456096076965332,3744823.7996973963,3744601.5444426974
5,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8339846426720665,0.5422259196966271,0.6571747250542332,16.96209406852722,6245261.403303137,6244982.366157996
10,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8663168501230907,0.5402062341676177,0.6654549928978567,31.88403730392456,12492190.487897724,12492297.747666933
20,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9259025098676383,0.52179475539144,0.6674425237935984,82.30523991584778,24999008.60454811,24998134.00258448
50,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9956401774776698,0.2433667441151554,0.3911187627837887,38.10024857521057,62502150.979279615,62502154.5802021
100,1339.0,250.0,5000.0,0.00042000000000000007,0.001,1.0,0.9972419486448343,0.21750786249458542,0.3571205261924278,36.03119821548462,125004515.41918322,125004032.42524552
