t,rd_seed,p,n,nu_0,mu,gamma,precision,recall,F1,BIC,BIC_mean
3,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9126154152290242,0.6907057131565733,0.7862844288709285,3728982.4091456444,3728982.4091456444
5,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9320245088964872,0.648942721253261,0.7651236769789085,6223083.970730226,6223083.970730226
10,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9310554120872234,0.6444350278638876,0.7616684428574988,12447615.576357612,12447615.576357612
20,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.932874862997269,0.6217810037446015,0.7461992808717773,24951822.9195965,24951822.9195965
50,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9368821417559399,0.5829576925903337,0.7187069087025487,62470864.18387957,62470864.18387957
100,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9333301967461685,0.5693563604935747,0.707262458842088,124972001.09489512,124972001.09489512
