T,p,N,Tau1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,2000,1000,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.177,0
3,65,2000,754.312006335462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.173,0
3,65,2000,568.98660290183,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.174,0
3,65,2000,429.193426012878,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.177,0
3,65,2000,323.745754281764,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.172,0
3,65,2000,244.205309454865,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.18,0
3,65,2000,184.206996932672,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.201,0
3,65,2000,138.949549437314,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.172,0
3,65,2000,104.811313415469,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.171,0
3,65,2000,79.060432109077,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.172,0
3,65,2000,59.6362331659464,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.172,0
3,65,2000,44.9843266896945,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.18,0
3,65,2000,33.9322177189533,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827854,0.171,0
3,65,2000,25.5954792269954,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.177,0
3,65,2000,19.3069772888325,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.171,0
3,65,2000,14.5634847750124,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.176,0
3,65,2000,10.9854114198756,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.176,0
3,65,2000,8.28642772854684,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.232,0
3,65,2000,6.25055192527398,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,4.71486636345739,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,3.55648030622313,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.168,0
3,65,2000,2.68269579527973,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.171,0
3,65,2000,2.02358964772516,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,1.52641796717523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,1.15139539932645,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,0.868511373751353,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.172,0
3,65,2000,0.655128556859551,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.171,0
3,65,2000,0.494171336132383,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.171,0
3,65,2000,0.372759372031494,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,0.281176869797423,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.169,0
3,65,2000,0.212095088792019,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.171,0
3,65,2000,0.159985871960606,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.17,0
3,65,2000,0.120679264063933,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827855,0.166,0
3,65,2000,0.0910298177991523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827811,0.141,0
3,65,2000,0.06866488450043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.3682783,0.14,0
3,65,2000,0.0517947467923121,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827842,0.141,0
3,65,2000,0.0390693993705462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827848,0.141,0
3,65,2000,0.0294705170255181,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3007829.36827852,0.141,0
