T,p,N,Tau1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,1000,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.124,0
3,65,200,754.312006335462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.12,0
3,65,200,568.98660290183,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.118,0
3,65,200,429.193426012878,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.121,0
3,65,200,323.745754281764,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.122,0
3,65,200,244.205309454865,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.12,0
3,65,200,184.206996932672,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.121,0
3,65,200,138.949549437314,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526765,0.119,0
3,65,200,104.811313415469,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526766,0.12,0
3,65,200,79.060432109077,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526766,0.13,0
3,65,200,59.6362331659464,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526766,0.118,0
3,65,200,44.9843266896945,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526767,0.117,0
3,65,200,33.9322177189533,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526767,0.117,0
3,65,200,25.5954792269954,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526768,0.117,0
3,65,200,19.3069772888325,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526769,0.117,0
3,65,200,14.5634847750124,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.9552677,0.117,0
3,65,200,10.9854114198756,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526771,0.121,0
3,65,200,8.28642772854684,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526773,0.117,0
3,65,200,6.25055192527398,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526775,0.117,0
3,65,200,4.71486636345739,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526777,0.116,0
3,65,200,3.55648030622313,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526779,0.118,0
3,65,200,2.68269579527973,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526781,0.117,0
3,65,200,2.02358964772516,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526784,0.116,0
3,65,200,1.52641796717523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526785,0.12,0
3,65,200,1.15139539932645,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526787,0.117,0
3,65,200,0.868511373751353,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526788,0.117,0
3,65,200,0.655128556859551,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526788,0.117,0
3,65,200,0.494171336132383,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.116,0
3,65,200,0.372759372031494,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.117,0
3,65,200,0.281176869797423,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.117,0
3,65,200,0.212095088792019,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.12,0
3,65,200,0.159985871960606,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.117,0
3,65,200,0.120679264063933,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.116,0
3,65,200,0.0910298177991523,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526663,0.0880000000000001,0
3,65,200,0.06866488450043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526715,0.0889999999999995,0
3,65,200,0.0517947467923121,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526745,0.0890000000000004,0
3,65,200,0.0390693993705462,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526763,0.0919999999999996,0
3,65,200,0.0294705170255181,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526773,0.0889999999999995,0
3,65,200,0.022229964825262,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.9552678,0.0880000000000001,0
3,65,200,0.0167683293681101,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526784,0.0880000000000001,0
3,65,200,0.012648552168553,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526786,0.0880000000000001,0
3,65,200,0.00954095476349994,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526787,0.0880000000000001,0
3,65,200,0.00719685673001153,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526788,0.0919999999999996,0
3,65,200,0.00542867543932386,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526788,0.0889999999999995,0
3,65,200,0.00409491506238043,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.0880000000000001,0
3,65,200,0.00308884359647748,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.0880000000000001,0
3,65,200,0.00232995181051537,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.0880000000000001,0
3,65,200,0.00175751062485479,0.001,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1700901.95526789,0.0890000000000004,0
