T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,1.28989026125331,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.469999999999999,0
3,65,200,1.17584955405216,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.472999999999999,0
3,65,200,1.07189131920513,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.470000000000002,0
3,65,200,0.97712415353465,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.460999999999999,0
3,65,200,0.890735463861044,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.510999999999999,0
3,65,200,0.811984499318401,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.455000000000002,0
3,65,200,0.740195999691564,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.462999999999997,0
3,65,200,0.674754405311069,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.464000000000002,0
3,65,200,0.61509857885805,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.457999999999998,0
3,65,200,0.560716993820546,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.468,0
3,65,200,0.511143348344017,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.468,0
3,65,200,0.465952566866468,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.466999999999999,0
3,65,200,0.42475715525369,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.460000000000001,0
3,65,200,0.387203878181255,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.472000000000001,0
3,65,200,0.352970730273065,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.503,0
3,65,200,0.321764175025074,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.469000000000001,0
3,65,200,0.293316627839005,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.471999999999998,0
3,65,200,0.267384161583995,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.465,0
3,65,200,0.243744415012222,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.468000000000004,0
3,65,200,0.222194686093952,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.472999999999999,0
3,65,200,0.202550193923067,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.469999999999999,0
3,65,200,0.184642494289554,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.469000000000001,0
3,65,200,0.168318035333096,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.460999999999999,0
3,65,200,0.153436840893001,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.500999999999998,0
3,65,200,0.139871310264724,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.455000000000005,0
3,65,200,0.127505124071301,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.453999999999994,0
3,65,200,0.116232246867985,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922922,0.468000000000004,0
3,65,200,0.105956017927762,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922533,1.19,0
3,65,200,0.096588322411587,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9934562071,1.32100000000001,0
3,65,200,0.0880488358164346,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9934562071,1.32899999999999,0
3,65,200,0.0802643352225717,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9932922242,2.062,0
3,65,200,0.0731680714342719,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9938794437,2.48399999999999,0
3,65,200,0.0666991966303012,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9938794282,2.62,0
3,65,200,0.0608022426164942,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.9940826655,4.348,0
3,65,200,0.0554266452066311,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,-46057.993292198,4.397,0
3,65,200,0.0505263106533568,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-45263.7075624719,4.528,6
3,65,200,0.046059220411451,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-44469.5801386248,4.767,12
3,65,200,0.0419870708444391,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-43676.8901104113,5.985,18
3,65,200,0.0382749447851631,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-42089.7109406796,7.574,30
3,65,200,0.0348910121340677,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-41300.4245267508,8.036,36
3,65,200,0.0318062569279412,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-40514.6824491528,8.96599999999999,42
3,65,200,0.0289942285388288,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-39727.8817149412,9.10900000000001,48
3,65,200,0.0264308148697411,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-38146.6917208122,9.46199999999999,60
3,65,200,0.0240940356023952,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,-35770.3248001478,10.414,78
3,65,200,0.0219638537241655,1,0.0167364016736402,0.222222222222222,0.0311284046692607,0.00757575757575758,0.111111111111111,0.0141843971631206,0.0104166666666667,0.166666666666667,0.0196078431372549,0.0115762753053548,0.166666666666667,0.0216402149898787,-26239.1887038583,10.773,150
3,65,200,0.0200220037181558,1,0.0209205020920502,0.227272727272727,0.0383141762452107,0.0113636363636364,0.136363636363636,0.020979020979021,0.0104166666666667,0.136363636363636,0.0193548387096774,0.0142336017074511,0.166666666666667,0.0262160119779697,-15928.4401443834,10.585,228
3,65,200,0.0182518349431904,1,0.0251046025104603,0.24,0.0454545454545454,0.0151515151515152,0.16,0.027681660899654,0.0138888888888889,0.16,0.0255591054313099,0.0180483355169548,0.186666666666667,0.0328984372618364,-8016.95230544183,10.982,288
3,65,200,0.0166381688607613,1,0.0251046025104603,0.214285714285714,0.0449438202247191,0.0151515151515152,0.142857142857143,0.0273972602739726,0.0138888888888889,0.142857142857143,0.0253164556962025,0.0180483355169548,0.166666666666667,0.0325525120649647,3070.1016272965,10.831,372
3,65,200,0.0151671688847092,1,0.0292887029288703,0.21875,0.0516605166051661,0.0189393939393939,0.15625,0.0337837837837838,0.0138888888888889,0.125,0.025,0.020705661919051,0.166666666666667,0.0368147667963166,11759.4161159622,10.895,438
