Method,n,Dataset,AUPRC
FGL,200,1,0.27
FGL,200,2,0.28
FGL,200,3,0.31
FGL,1000,1,0.28
FGL,1000,2,0.3
FGL,1000,3,0.32
FGL,2000,1,0.27
FGL,2000,2,0.29
FGL,2000,3,0.31
