Method,Seed,CPU,L,AUPRC
jointGHS,1994,20,10,0.1961
jointGHS,1995,20,10,0.1947
jointGHS,1996,20,10,0.1945
jointGHS,1997,20,10,0.1946
jointGHS,1998,20,10,0.1943
