rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
40,Cat_alg,20,250,5000.0,Cat1,0.0001,0.0001,1,0.0350538273561851,0.8722267871815941,0.0673989650465094,201.77379059791565,31699696.31491768,31700034.41949152
40,Cat_alg,20,250,5000.0,Cat2,0.0001,0.0001,1,0.0348973062235524,0.8697396851527935,0.0671022131902327, ,31700372.52406536,
40,Direct_alg,20,250,5000.0,Cat1,0.0001,0.0001,1,0.0546792165637826,0.8633935907970419,0.1028451877726052,80.30759692192078,29283105.53995455,29277352.645474978
40,Direct_alg,20,250,5000.0,Cat2,0.0001,0.0001,1,0.0548087271304177,0.8645951229550365,0.10308279254634,80.13878273963928,29271599.7509954,
40,Cat_alg,20,250,5000.0,Cat1,0.0001,0.001,1,0.28757043141872,0.7024445357436319,0.4080792410048331,190.44761681556702,25399411.62803475,25399318.13884701
40,Cat_alg,20,250,5000.0,Cat2,0.0001,0.001,1,0.2849974700624051,0.6954419178927873,0.4043068640646029, ,25399224.649659272,
40,Direct_alg,20,250,5000.0,Cat1,0.0001,0.001,1,0.8121514528911066,0.5684059161873459,0.668761329305136,83.70474314689636,25043194.57662648,25041878.06946904
40,Direct_alg,20,250,5000.0,Cat2,0.0001,0.001,1,0.8115292712066906,0.5591110196522276,0.6620773682607372,83.63897156715393,25040561.56231161,
40,Cat_alg,20,250,5000.0,Cat1,0.0005,0.0001,1,0.1844850930522738,0.7137428101889893,0.293188194839989,190.01809763908386,25813795.97728041,25814954.624552287
40,Cat_alg,20,250,5000.0,Cat2,0.0005,0.0001,1,0.1840345943651509,0.7137565593168022,0.2926201674646194, ,25816113.27182416,
40,Direct_alg,20,250,5000.0,Cat1,0.0005,0.0001,1,0.3251883152673158,0.7271980279375514,0.449409673733655,84.89679193496704,25479469.69703343,25479935.33434941
40,Direct_alg,20,250,5000.0,Cat2,0.0005,0.0001,1,0.3229094916655187,0.7235312274925404,0.4465328930657861,84.87563514709473,25480400.971665382,
40,Cat_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.911827573922337,0.5257806080525883,0.666970684039088,187.84047484397888,24952085.30158356,24951493.795116093
40,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.9087279985483578,0.5152793497273382,0.6576493762311229, ,24950902.288648624,
40,Direct_alg,20,250,5000.0,Cat1,0.0005,0.001,1,0.8854996585476895,0.3995480690221857,0.5506405265765447,83.63987064361572,25001225.950483467,25000391.58663591
40,Direct_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.881194997684113,0.3915011832493055,0.5421386336111705,81.98631930351257,24999557.22278835,
40,Cat_alg,20,250,5000.0,Cat1,0.001,0.0001,1,0.8498488411152166,0.5197206244864421,0.6449968132568514,189.36436438560486,24986597.0102566,24985564.22345391
40,Cat_alg,20,250,5000.0,Cat2,0.001,0.0001,1,0.8480383758780196,0.5093116575779402,0.6364103882746208, ,24984531.436651222,
40,Direct_alg,20,250,5000.0,Cat1,0.001,0.0001,1,0.6028479119301184,0.5174609695973705,0.5569004587409495,79.87174820899963,25132350.273596637,25129263.394013688
40,Direct_alg,20,250,5000.0,Cat2,0.001,0.0001,1,0.6080117965101991,0.5091058750900298,0.5541804334434675,79.86646771430969,25126176.51443074,
40,Cat_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.9962010520163648,0.3501437962202136,0.5181638546891625,190.32835721969604,24928721.903219573,24928090.349907443
40,Cat_alg,20,250,5000.0,Cat2,0.001,0.001,1,0.9973013493253372,0.3422162773947937,0.509575609008733, ,24927458.79659532,
40,Direct_alg,20,250,5000.0,Cat1,0.001,0.001,1,0.8958026509572902,0.2498972884141331,0.3907805974943784,79.7055492401123,24987441.82565545,24986930.82208888
40,Direct_alg,20,250,5000.0,Cat2,0.001,0.001,1,0.8936484490398818,0.2489968103714374,0.3894745312625734,79.50263214111328,24986419.81852231,
