Method,Seed,CPU,L,AUPRC
code_L0,1994,20,10,0.8578
code_L0,1995,20,10,0.8585
code_L0,1996,20,10,0.8565
code_L0,1997,20,10,0.8577
code_L0,1998,20,10,0.855
