rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1341,5.000000e-01,2000,1.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,951.986,593.951,38.864 
1341,5.000000e-01,2000,5.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,951.978,593.864,36.596 
1341,5.000000e-01,2000,1.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,951.968,593.756,35.586 
1341,5.000000e-01,2000,5.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.994,0.001,0.002,951.889,592.890,36.461 
1341,5.000000e-01,2000,1.000000e-04,2.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,1696.730,1076.063,39.382 
1341,5.000000e-01,2000,5.000000e-04,2.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,1696.724,1075.979,38.051 
1341,5.000000e-01,2000,1.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.998,0.001,0.002,1696.716,1075.875,35.824 
1341,5.000000e-01,2000,5.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.990,0.001,0.002,1696.655,1075.039,35.379 
1341,5.000000e-01,2000,1.000000e-04,5.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,113.149,53.523,30.854 
1341,5.000000e-01,2000,5.000000e-04,5.000000e-04,1.000000e+00,-Inf,0.997,0.001,0.002,113.146,53.435,30.993 
1341,5.000000e-01,2000,1.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.994,0.001,0.002,113.143,53.326,30.384 
1341,5.000000e-01,2000,5.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.967,0.001,0.002,113.117,52.464,31.253 
1341,5.000000e-01,2000,1.000000e-04,1.000000e-03,1.000000e+00,-Inf,0.999,0.001,0.002,125.791,49.569,32.894 
1341,5.000000e-01,2000,5.000000e-04,1.000000e-03,1.000000e+00,-Inf,0.995,0.001,0.002,125.791,49.486,32.162 
1341,5.000000e-01,2000,1.000000e-04,1.000000e-02,1.000000e+00,732101765.687,0.888,0.002,0.004,93.372,0.916,30.394 
1341,5.000000e-01,2000,5.000000e-04,1.000000e-02,1.000000e+00,40883080.979,0.520,0.656,0.580,93.372,0.916,25.181 
1341,5.000000e-01,2000,1.000000e-03,1.000000e-02,1.000000e+00,40379062.133,0.351,0.858,0.499,93.372,0.917,23.876 
1341,5.000000e-01,2000,5.000000e-03,1.000000e-02,1.000000e+00,40049126.322,0.016,0.967,0.031,93.372,0.917,23.508 
