rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1341,2.500000e-01,2000,1.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,3288.239,1883.743,34.999 
1341,2.500000e-01,2000,5.000000e-04,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,3288.235,1883.682,33.711 
1341,2.500000e-01,2000,1.000000e-03,1.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,3288.232,1883.606,33.426 
1341,2.500000e-01,2000,5.000000e-03,1.000000e-04,1.000000e+00,-Inf,0.997,0.001,0.002,3288.201,1882.999,32.983 
1341,2.500000e-01,2000,1.000000e-04,2.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,814.454,466.515,32.551 
1341,2.500000e-01,2000,5.000000e-04,2.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,814.453,466.454,31.935 
1341,2.500000e-01,2000,1.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,814.451,466.378,32.185 
1341,2.500000e-01,2000,5.000000e-03,2.000000e-04,1.000000e+00,-Inf,0.993,0.001,0.002,814.439,465.769,31.735 
1341,2.500000e-01,2000,1.000000e-04,5.000000e-04,1.000000e+00,-Inf,1.000,0.001,0.002,414.795,214.749,31.216 
1341,2.500000e-01,2000,5.000000e-04,5.000000e-04,1.000000e+00,-Inf,0.999,0.001,0.002,414.792,214.688,30.889 
1341,2.500000e-01,2000,1.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.997,0.001,0.002,414.789,214.613,31.205 
1341,2.500000e-01,2000,5.000000e-03,5.000000e-04,1.000000e+00,-Inf,0.984,0.001,0.002,414.765,214.016,31.140 
1341,2.500000e-01,2000,1.000000e-04,1.000000e-03,1.000000e+00,-Inf,1.000,0.001,0.002,239.321,93.485,28.807 
1341,2.500000e-01,2000,5.000000e-04,1.000000e-03,1.000000e+00,-Inf,0.998,0.001,0.002,239.321,93.426,28.790 
1341,2.500000e-01,2000,1.000000e-03,1.000000e-03,1.000000e+00,-Inf,0.995,0.001,0.002,239.321,93.353,28.739 
1341,2.500000e-01,2000,1.000000e-04,1.000000e-02,1.000000e+00,862418565.693,0.927,0.002,0.003,93.312,0.912,37.961 
1341,2.500000e-01,2000,5.000000e-04,1.000000e-02,1.000000e+00,86007503.140,0.610,0.013,0.026,93.312,0.912,33.366 
1341,2.500000e-01,2000,1.000000e-03,1.000000e-02,1.000000e+00,91327120.286,0.432,0.009,0.017,93.312,0.912,25.967 
1341,2.500000e-01,2000,5.000000e-03,1.000000e-02,1.000000e+00,20166511.013,0.065,0.945,0.122,93.312,0.913,28.625 
