T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,200,2000,0.1,1,0,NA,NA,-1752413.78437547,113.046,0
1,200,2000,0.079060432109077,1,0,NA,NA,-1752413.78437547,112.914,0
1,200,2000,0.0625055192527397,1,0,NA,NA,-1752413.78551475,145.922,0
1,200,2000,0.0494171336132383,1,0,NA,NA,-1752413.79881182,2927.983,0
1,200,2000,1,1,0,NA,NA,-1752413.78437547,107.964,0
1,200,2000,10,1,0,NA,NA,-1752413.78437547,112.441,0
1,200,2000,100,1,0,NA,NA,-1752413.78437547,109.4,0
1,200,2000,1000,1,0,NA,NA,-1752413.78437547,112.607,0
1,200,2000,0.316227766016838,1,0,NA,NA,-1752413.78437547,105.027,0
1,200,2000,3.16227766016838,1,0,NA,NA,-1752413.78437547,109.854,0
1,200,2000,31.6227766016838,1,0,NA,NA,-1752413.78437547,106.667,0
1,200,2000,316.227766016838,1,0,NA,NA,-1752413.78437547,109.922,0
1,200,2000,0.1,1,0,NA,NA,-1752413.78437547,105.133,0
1,200,2000,1,1,0,NA,NA,-1752413.78437547,109.891,0
1,200,2000,10,1,0,NA,NA,-1752413.78437547,106.682,0
1,200,2000,100,1,0,NA,NA,-1752413.78437547,109.872,0
