t,rd_seed,p,n,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
3,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.721002842674097,0.5065753424657534,0.5950394423667487,8.504128122329712,3744823.7996973963,3744601.5444426974
5,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.7583018116486338,0.4252156057494866,0.5448803926372537,16.952934074401856,6245261.403303137,6244982.366157996
10,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8013637418992067,0.42244604316546763,0.5532422164326191,32.67793841362,12492190.487897724,12492297.747666933
20,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8839293933669368,0.39940427280197205,0.5501901199239988,84.02571568489074,24999008.60454811,24998134.00258448
50,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9733493703659286,0.04925477314719766,0.09373856303045752,38.72199683189392,62502150.979279615,62502154.5802021
100,1339.0,250.0,5000.0,0.00042000000000000007,0.001,1.0,0.9559245785549179,0.016630376730619078,0.03268371473918944,36.73737826347351,125004515.41918322,125004032.42524552
