t,rd_seed,p,n,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
3,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8813840414354264,0.6121917808219178,0.7225067870075239,22.599390840530397,3729870.057715899,3728982.4091456444
5,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9043613112345377,0.5572895277207393,0.6896022610182424,42.946440029144284,6223998.952696519,6223083.970730226
10,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9025119242908854,0.552846865364851,0.6856666220369195,85.55611019134521,12447825.401310872,12447615.576357612
20,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9039385936025717,0.527341824157765,0.6660921707867549,185.8017687320709,24951634.9373023,24951822.9195965
50,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9054877053050336,0.4730691849722849,0.6214582764481376,609.8351782798767,62471070.41331556,62470864.18387957
100,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8995995384365644,0.45900743601331084,0.6078615148215506,1620.7890055179596,124972564.92275822,124972001.09489512
