t,rd_seed,p,n,nu_0,mu,gamma,precision,recall,F1,BIC,BIC_mean
3,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8803009290178098,0.611236397607669,0.7214670548199944,3728982.4091456444,3728982.4091456444
5,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9038281607386098,0.5588501026694045,0.6906284383360576,6223083.970730226,6223083.970730226
10,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9021745672800083,0.5531031121564342,0.6857645561146095,12447615.576357612,12447615.576357612
20,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9031876999365093,0.5246236849979071,0.6637147153269763,24951822.9195965,24951822.9195965
50,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.9060504282943047,0.4759508309239636,0.6240669053025821,62470864.18387957,62470864.18387957
100,1339.0,250.0,5000.0,0.0005,0.001,1.0,0.8997908169466529,0.45886811259969534,0.6077821414251962,124972001.09489512,124972001.09489512
