t,p,n,nu_0,mu,gamma,no_edges,bic value,precision,,,,,,,,precision_avg,recall,,,,,,,,recall_avg,F1,,,,,,,,F1_avg,Time(sec),mask_diag
8,65,2000,0.0005,11.895340673703195,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.290787220001221,True
8,65,2000,0.0005,10.843659686896103,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.266965866088867,True
8,65,2000,0.0005,9.884959046625585,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.286908388137817,True
8,65,2000,0.0005,9.01101825166502,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.289381742477417,True
8,65,2000,0.0005,8.214343584919426,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.27288293838501,True
8,65,2000,0.0005,7.488103857590023,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.283384084701538,True
8,65,2000,0.0005,6.82607183427239,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.329992771148682,True
8,65,2000,0.0005,6.222570836730228,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.282946825027466,True
8,65,2000,0.0005,5.672426068491977,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.295997858047485,True
8,65,2000,0.0005,5.170920242896758,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.350951910018921,True
8,65,2000,0.0005,4.7137531341167245,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.365563154220581,True
8,65,2000,0.0005,4.297004704320842,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.304084539413452,True
8,65,2000,0.0005,3.9171014908092587,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.321259260177612,True
8,65,2000,0.0005,3.5707859649004625,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.311253547668457,True
8,65,2000,0.0005,3.2550885998350583,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.320512533187866,True
8,65,2000,0.0005,2.9673024081888695,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.319332122802734,True
8,65,2000,0.0005,2.704959730463134,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.32695198059082,True
8,65,2000,0.0005,2.4658110758226024,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.358518362045288,True
8,65,2000,0.0005,2.247805833548725,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.359116077423096,True
8,65,2000,0.0005,2.049074689815847,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.358286380767822,True
8,65,2000,0.0005,1.8679135990207827,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.358810186386108,True
8,65,2000,0.0005,1.7027691722258995,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.371469736099243,True
8,65,2000,0.0005,1.5522253574270473,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.402004241943359,True
8,65,2000,0.0005,1.414991297434576,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.394104957580566,True
8,65,2000,0.0005,1.2898902612533087,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.415691375732422,True
8,65,2000,0.0005,1.175849554052157,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.437767267227173,True
8,65,2000,0.0005,1.0718913192051276,20,162.5,274630.48166733666,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.448715925216675,True
