T,p,N,Lamb,Epsilon0,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
1,65,2000,1000,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.549,0
1,65,2000,911.588829975082,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.534,0
1,65,2000,830.99419493534,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.548,0
1,65,2000,757.525025877191,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.526,0
1,65,2000,690.551352016233,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.529,0
1,65,2000,629.498899022189,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.539000000000001,0
1,65,2000,573.844164830239,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.531,0
1,65,2000,523.109930805626,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.537,0
1,65,2000,476.861169771447,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.47,0
1,65,2000,434.701315812503,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.513,0
1,65,2000,396.268863870148,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.489999999999999,0
1,65,2000,361.234269970943,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.486,0
1,65,2000,329.297125509715,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.495,0
1,65,2000,300.183581357559,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.49,0
1,65,2000,273.643999707467,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.491999999999999,0
1,65,2000,249.450813523032,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.530999999999999,0
1,65,2000,227.396575235793,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497999999999999,0
1,65,2000,207.292177959537,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.532999999999999,0
1,65,2000,188.965233969121,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.468999999999999,0
1,65,2000,172.258596539879,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.489000000000001,0
1,65,2000,157.029012472938,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.484,0
1,65,2000,143.145893752348,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.516,0
1,65,2000,130.49019780144,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.5,0
1,65,2000,118.953406737032,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.494000000000002,0
1,65,2000,108.436596868961,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.491,0
1,65,2000,98.8495904662559,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.489000000000001,0
1,65,2000,90.1101825166502,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497,0
1,65,2000,82.1434358491943,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.488,0
1,65,2000,74.8810385759002,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.525,0
1,65,2000,68.2607183427239,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.466000000000001,0
1,65,2000,62.2257083673023,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.513000000000002,0
1,65,2000,56.7242606849198,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.497,0
1,65,2000,51.7092024289676,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.490000000000002,0
1,65,2000,47.1375313411672,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.491,0
1,65,2000,42.9700470432084,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.496000000000002,0
1,65,2000,39.1710149080926,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.493000000000002,0
1,65,2000,35.7078596490046,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.495000000000001,0
1,65,2000,32.5508859983506,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.501999999999999,0
1,65,2000,29.6730240818887,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.494,0
1,65,2000,27.0495973046313,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.526,0
1,65,2000,24.658110758226,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,Inf,0.469000000000001,0
1,65,2000,22.4780583354873,0.1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,30298.3518906621,0.486000000000001,0
