rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min),seed,n_by_p
1994.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3698694.427591461,0.8626155878467635,0.8884353741496599,0.8753351206434316,0.1736620268008361,1994.0,3.0
1994.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6160460.16891603,0.815347721822542,0.8326530612244898,0.8239095315024233,0.2864572015435745,1994.0,5.0
1994.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12334185.712634323,0.8276143790849673,0.8269387755102041,0.8272764393630053,0.5625837913559129,1994.0,10.0
1994.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24721763.57100077,0.78545101842871,0.8263265306122449,0.8053704624564892,1.1339102387428284,1994.0,20.0
1994.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61562592.23763591,0.8981448126801153,0.8141224489795919,0.8540721075618738,2.759266078817503,1994.0,50.0
1994.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123355440.28848808,0.912504035791707,0.8075102040816327,0.8568025811480913,5.907472101882255,1994.0,100.0
1995.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3699420.471448918,0.871313672922252,0.8843537414965986,0.8777852802160702,0.1638383858216305,1995.0,3.0
1995.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6163522.945040154,0.8186900958466453,0.8367346938775511,0.8276140492531289,0.3236417444422841,1995.0,5.0
1995.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12347176.610074414,0.8201380430369468,0.8244897959183674,0.8223081620191329,0.538800110667944,1995.0,10.0
1995.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24732846.81404991,0.7926141885325558,0.8322448979591837,0.8119462419113986,1.067226367862895,1995.0,20.0
1995.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61585259.1200764,0.8988642509464575,0.8140408163265306,0.8543522960932144,2.9337482002408555,1995.0,50.0
1995.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123408177.3142388,0.914682723483094,0.8060408163265306,0.8569320893903233,6.446063163876533,1995.0,100.0
1996.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3698672.33929413,0.8870748299319728,0.8870748299319728,0.8870748299319728,0.2116949450379858,1996.0,3.0
1996.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6157318.228799908,0.817524115755627,0.830204081632653,0.8238153098420412,0.2708877551524589,1996.0,5.0
1996.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12332787.319494797,0.8290388548057259,0.8273469387755102,0.8281920326864147,0.5683682887814939,1996.0,10.0
1996.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24725543.630635515,0.7900252280225112,0.8308163265306122,0.8099074903014026,1.1498312007674636,1996.0,20.0
1996.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61573977.86084313,0.8970087766433817,0.8176326530612245,0.8554834301332422,2.90541838738136,1996.0,50.0
1996.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123384013.92928074,0.9132966677450663,0.8065714285714286,0.8566226672735548,5.8983350449319305,1996.0,100.0
1997.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3704492.118130624,0.8710526315789474,0.9006802721088435,0.8856187290969899,0.1651933090838914,1997.0,3.0
1997.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6166883.925808726,0.8169464428457234,0.8342857142857143,0.8255250403877221,0.2615809880507489,1997.0,5.0
1997.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12346245.479957648,0.8270645952575634,0.8257142857142857,0.8263888888888888,0.5474904348452886,1997.0,10.0
1997.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24742483.40290342,0.7847585805700988,0.8259183673469388,0.8048125683603461,1.1151320153536897,1997.0,20.0
1997.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61584676.31498787,0.893382025474303,0.8187755102040817,0.8544532947139754,2.983713077614084,1997.0,50.0
1997.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123403099.60945444,0.9133683919180736,0.8081632653061225,0.857551214864221,6.990417850824694,1997.0,100.0
1998.0,3.0,250.0,5000.0,0.0005,0.001,1.0,3703367.6586117726,0.8751660026560425,0.8965986394557823,0.885752688172043,0.1605223716508286,1998.0,3.0
1998.0,5.0,250.0,5000.0,0.0005,0.001,1.0,6164596.124596705,0.8211708099438653,0.8359183673469388,0.8284789644012944,0.2760729032723854,1998.0,5.0
1998.0,10.0,250.0,5000.0,0.0005,0.001,1.0,12345292.297289245,0.8226921512810086,0.8257142857142857,0.8242004481564474,0.5289624440638969,1998.0,10.0
1998.0,20.0,250.0,5000.0,0.0005,0.001,1.0,24737630.593394976,0.790156946328231,0.8322448979591837,0.8106550044727165,1.1551756402322402,1998.0,20.0
1998.0,50.0,250.0,5000.0,0.0005,0.001,1.0,61557333.15531138,0.8997756841633019,0.8186122448979591,0.8572771959820473,2.7902549010856696,1998.0,50.0
1998.0,100.0,250.0,5000.0,0.0005,0.001,1.0,123351822.78600287,0.9142435151850826,0.8084897959183673,0.8581206948836807,7.629092300512517,1998.0,100.0
