population,t,p,n,precision,recall,F1,Time(sec),AUPRC
0,10,100,2500,0.14704087858450274,0.6426666666666667,0.23932472691161863,4.765783813782036,0.14610982824574884
1,10,100,2500,0.10880503144654088,0.7456896551724138,0.18990120746432493,8.448077508248389,0.13317429894079497
2,10,100,2500,0.13490623109497882,0.6143250688705234,0.22123015873015875,12.44631592091173,0.1332996162393377
3,10,100,2500,0.15834348355663824,0.6032482598607889,0.25084418716835505,16.02255643438548,0.16487324724138172
4,10,100,2500,0.13495440729483282,0.7070063694267515,0.22664624808575803,19.772448836825788,0.15869101996369958
5,10,100,2500,0.1561524047470331,0.6265664160401002,0.25,23.324313394725323,0.14831519550790867
6,10,100,2500,0.1947401377582968,0.6308316430020284,0.2976076555023923,27.066122826188803,0.1929808033198291
7,10,100,2500,0.14285714285714285,0.6401098901098901,0.23358395989974937,31.04009596258402,0.15419357195926123
8,10,100,2500,0.19859961807765755,0.6695278969957081,0.3063328424153166,34.9338804166764,0.2097476565027972
9,10,100,2500,0.14855739717618172,0.6142131979695431,0.23924864063272366,38.60239084716886,0.13759304224811128
GLOBAL,10,100,2500,0.15230275342634894,0.6439571913338554,0.2463428029357432,38.60239084716886,0.15553680740787101
