rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1341,Cat_alg,50,250,5000.0,Cat1,0.0005,0.0001,1,0.1798879483990269,0.6710326421679327,0.283717861916914,614.1490898132324,64571517.85449414,64569739.96189711
1341,Cat_alg,50,250,5000.0,Cat2,0.0005,0.0001,1,0.1806384149697303,0.674655704008222,0.284975037985674, ,64567962.06930008,
1341,Direct_alg,50,250,5000.0,Cat1,0.0005,0.0001,1,0.6247987117552335,0.0637240812974748,0.1156525951041395,28.05767798423767,62555644.98752954,62554190.34551062
1341,Direct_alg,50,250,5000.0,Cat2,0.0005,0.0001,1,0.624421052631579,0.0609660842754367,0.1110861423220973,25.795161247253418,62552735.70349169,
1341,Cat_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9057731634418752,0.4728392527201807,0.6213277941136798,600.9343466758728,62475869.57359509,62476730.92809693
1341,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9081830146318804,0.4822610483042138,0.629987648354009, ,62477592.28259877,
1341,Direct_alg,50,250,5000.0,Cat1,0.0005,0.001,1,0.9785714285714284,0.0450010264832683,0.0860451422963689,40.27439498901367,62510133.61182422,62509464.15559995
1341,Direct_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9702633814783348,0.0469475847893114,0.0895616030115284,37.44705629348755,62508794.69937569,
1341,Cat_alg,50,250,5000.0,Cat1,0.0001,0.0001,1,0.0344904965251611,0.8456579757749949,0.0662778256007594,598.1609373092651,79120318.04705268,79123334.0459634
1341,Cat_alg,50,250,5000.0,Cat2,0.0001,0.0001,1,0.034626817707078,0.8504830421377184,0.0665443299168035, ,79126350.04487413,
1341,Direct_alg,50,250,5000.0,Cat1,0.0001,0.0001,1,0.1469882409407247,0.0502976801478135,0.0749487595215516,21.20357060432434,62734446.77270758,62737018.763274245
1341,Direct_alg,50,250,5000.0,Cat2,0.0001,0.0001,1,0.131516867185657,0.0458376156217882,0.0679815870499649,21.25789761543274,62739590.75384091,
1341,Cat_alg,50,250,5000.0,Cat1,0.0001,0.001,1,0.2912799779472572,0.6507903921166085,0.4024374761965215,598.1065316200256,63492923.11884459,63493101.29142218
1341,Cat_alg,50,250,5000.0,Cat2,0.0001,0.001,1,0.2921737536656891,0.6553340184994861,0.4041579514483108, ,63493279.46399977,
1341,Direct_alg,50,250,5000.0,Cat1,0.0001,0.001,1,0.9590382902938558,0.044220899199343,0.0845435277494308,22.7599675655365,62514908.08845222,62514339.21488102
1341,Direct_alg,50,250,5000.0,Cat2,0.0001,0.001,1,0.9657089898053752,0.0428365878725591,0.0820343253031018,21.924388885498047,62513770.34130981,
