perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8159406239001774,0.5261682242990654,0.6397552948158591,35.91345930099487,43038.71308627806,43710.66255177431
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8220081482747201,0.5313988095238095,0.6454835868650406,35.507589387893674,48345.37447746538,47904.84522194706
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8350832713265725,0.5415531335149864,0.6570196113901631,35.485828161239624,54998.05169138436,55937.34062407368
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.853977227058971,0.5469945355191257,0.6668449519589211,35.85870733261108,75915.56216727935,78113.72861807942
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8809866661841509,0.5664887063655031,0.6895516766758576,36.374711465835574,107666.39659501519,106581.91605620921
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9111473716072591,0.5482398239823982,0.6845612483534399,36.59280505180359,140874.20338948484,141557.8968081943
