rd_seed,Alg,perturb_strength,t,p,n_by_p,Cat,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
1337,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8126491646778043,0.530373831775701,0.6418473138548539,34.356399059295654,43535.537468981885,44363.08916638627
1337,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8184931506849316,0.5334821428571429,0.645945945945946,34.63136053085327,49022.886087982944,48549.08764514993
1337,Cat_alg,0.2,5,250,20.0,Cat1,0.0005,0.001,1,0.8272632674297606,0.5415531335149864,0.6545903664059284,35.23115587234497,55890.85062080654,56653.526164253264
1337,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8512256973795436,0.5502732240437158,0.6684367739794225,36.73900079727173,76149.75952496272,78841.45545326541
1337,Cat_alg,1.0,5,250,20.0,Cat1,0.0005,0.001,1,0.8779724655819775,0.5761806981519507,0.6957599801636499,35.93435311317444,108685.34728938033,107451.84936856056
1337,Cat_alg,2.0,5,250,20.0,Cat1,0.0005,0.001,1,0.9075249320036264,0.5506050605060506,0.6853817185895241,37.151941537857056,142231.9805879052,142985.02172823175
1338,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8046683046683046,0.5101246105919003,0.6244041944709247,35.53948426246643,42576.34905795614,43087.035505494605
1338,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8119858989424207,0.5141369047619048,0.6296127562642369,36.603839635849,47451.27216263252,47408.66721205034
1338,Cat_alg,0.2,5,250,20.0,Cat1,0.0005,0.001,1,0.8236536430834214,0.5313351498637602,0.6459627329192547,34.624515533447266,54796.34881243675,55962.88284300895
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8440677966101695,0.5442622950819672,0.6617940199335548,35.261207818984985,76334.19881917606,77897.87812208495
1338,Cat_alg,1.0,5,250,20.0,Cat1,0.0005,0.001,1,0.8730057434588385,0.5618069815195071,0.6836581709145426,37.09598255157471,107574.78216942628,106506.87974572598
1338,Cat_alg,2.0,5,250,20.0,Cat1,0.0005,0.001,1,0.910828025477707,0.5506050605060506,0.6863215632499143,37.82817220687866,141517.26299861772,142138.3914855026
1339,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8221153846153846,0.5327102803738317,0.6465028355387523,37.893959045410156,43110.11052209197,43889.50309322778
1339,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8211845102505695,0.5364583333333334,0.648964896489649,36.237892389297485,48552.46428391563,48022.58963819088
1339,Cat_alg,0.2,5,250,20.0,Cat1,0.0005,0.001,1,0.8384371700105596,0.5408719346049047,0.6575569358178054,35.757524728775024,54670.16877829741,55859.72123119698
1339,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8555555555555555,0.5469945355191257,0.6673333333333332,36.0437445640564,75847.20538147648,78285.34839285474
1339,Cat_alg,1.0,5,250,20.0,Cat1,0.0005,0.001,1,0.8812580231065469,0.5638603696098563,0.6877034810919108,35.96100902557373,108088.54174942378,106956.18641026317
1339,Cat_alg,2.0,5,250,20.0,Cat1,0.0005,0.001,1,0.9126034958601656,0.5456545654565457,0.6829604130808951,36.10264611244202,139712.14081541868,140684.50035225815
1340,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8321167883211679,0.5327102803738317,0.6495726495726496,34.616554498672485,42709.37553578129,43373.17795948361
1340,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8350515463917526,0.5424107142857143,0.6576454668470907,35.820714473724365,48422.02671025776,47815.8512878821
1340,Cat_alg,0.2,5,250,20.0,Cat1,0.0005,0.001,1,0.8481675392670157,0.5517711171662125,0.6685926537350392,36.40556764602661,54898.73578462708,55839.03203331049
1340,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8663239074550129,0.5524590163934426,0.6746746746746747,34.82125663757324,75674.33465332745,77797.31870963928
1340,Cat_alg,1.0,5,250,20.0,Cat1,0.0005,0.001,1,0.8864656831302117,0.5675564681724846,0.6920380570856285,37.03628635406494,107542.11757602768,106134.49486090738
1340,Cat_alg,2.0,5,250,20.0,Cat1,0.0005,0.001,1,0.9140909090909092,0.5530803080308031,0.6891706648389309,36.02756142616272,141335.89281763366,141936.09665100963
1341,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8081534772182254,0.5249221183800623,0.6364494806421153,37.16089963912964,43262.19284657902,43840.50703427929
1341,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8233256351039261,0.5305059523809523,0.6452488687782805,34.24413990974426,48278.22314253804,47728.030326462045
1341,Cat_alg,0.2,5,250,20.0,Cat1,0.0005,0.001,1,0.8378947368421052,0.5422343324250681,0.6583953680727874,35.41037702560425,54734.154460753976,55371.54084859871
1341,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8527131782945736,0.5409836065573771,0.6619859578736208,36.42832684516907,75572.31245745404,77746.64241255273
1341,Cat_alg,1.0,5,250,20.0,Cat1,0.0005,0.001,1,0.8862314156431803,0.5630390143737166,0.6885986941235559,35.84592628479004,106441.19419081784,105860.16989558906
1341,Cat_alg,2.0,5,250,20.0,Cat1,0.0005,0.001,1,0.9106894956038872,0.5412541254125413,0.6789718820079351,35.85370397567749,139573.7397278489,140045.47382396925
