perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8165272200816339,0.5281931464174454,0.6414285855495523,43710.66255177431,43710.66255177431
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8226742813669343,0.5292612527499823,0.6441092943022186,47904.845221947064,47904.84522194706
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8336660193097615,0.5372612083957184,0.6534119285505886,55937.34062407368,55937.34062407368
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8549437687070156,0.5559274812242591,0.6736965478865258,78113.72861807942,78113.72861807942
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.88056425244446,0.5639741604808245,0.6875552653200998,106581.91605620921,106581.91605620921
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9124794553916559,0.5479327036464283,0.6846958791552855,141557.8968081943,141557.8968081943
