perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9133388078389956,0.4189252336448598,0.5743277329446941,11.048320055007935,29263.18521496123,29263.185214961228
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8827226609220318,0.42002962884110423,0.5691488155843556,10.922270941734315,31667.198763608136,31667.198763608136
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8465945293249684,0.42768262175558674,0.5681741741440052,11.006248688697815,36034.94452368557,36034.94452368557
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.7920724001591878,0.4468781573303902,0.5712537364600098,10.960710334777833,48287.19708555266,48287.19708555266
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.7706292577810411,0.4486269745654335,0.5670770954722527,11.20968861579895,63268.546832397034,63268.546832397034
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8000310052035194,0.42417816376751594,0.554400188327631,11.10205328464508,80700.90648770313,80700.90648770313
