T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,2.43744415012222,0.1,0.069377990430622,0.783783783783784,0.127472527472527,31283.1789907173,1.14100000000001,37
1,65,2000,2.22194686093952,0.1,0.076555023923445,0.8,0.139737991266376,34374.9561968369,1.102,40
1,65,2000,2.02550193923067,0.1,0.0885167464114833,0.770833333333333,0.158798283261803,40407.2262113267,1.11799999999999,48
1,65,2000,1.84642494289554,0.1,0.100478468899522,0.763636363636364,0.177589852008457,45677.8810323299,1.124,55
1,65,2000,1.68318035333096,0.1,0.117224880382775,0.73134328358209,0.202061855670103,54410.4459129604,1.133,67
1,65,2000,1.53436840893001,0.1,0.15311004784689,0.65979381443299,0.248543689320388,72149.7286285895,1.107,97
1,65,2000,1.39871310264724,0.1,0.179425837320574,0.581395348837209,0.274223034734918,97308.1507747596,1.113,129
1,65,2000,1.27505124071301,0.1,0.22488038277512,0.546511627906977,0.31864406779661,135959.728657245,1.134,172
1,65,2000,1.16232246867985,0.1,0.255980861244019,0.502347417840376,0.339144215530903,175686.49428982,1.093,213
1,65,2000,1.05956017927762,0.1,0.303827751196172,0.427609427609428,0.355244755244755,231544.760695186,1.113,297
1,65,2000,0.96588322411587,0.1,0.342105263157895,0.363867684478371,0.352651048088779,299834.69764061,1.11800000000001,393
1,65,2000,0.880488358164346,0.1,0.389952153110048,0.309885931558935,0.345338983050847,398518.804758742,1.13000000000001,526
1,65,2000,0.802643352225717,0.1,0.423444976076555,0.260294117647059,0.322404371584699,496423.468755562,1.14,680
1,65,2000,0.731680714342719,0.1,0.476076555023923,0.22690992018244,0.307335907335907,625776.931667755,1.11200000000001,877
1,65,2000,0.666991966303012,0.1,0.519138755980861,0.197632058287796,0.286279683377309,759896.64496201,1.123,1098
1,65,2000,0.608022426164942,0.1,0.555023923444976,0.170337738619677,0.260674157303371,913839.593616297,1.148,1362
1,65,2000,0.554266452066311,0.1,0.574162679425837,0.147148988350705,0.234260614934114,1073603.66734214,1.10599999999999,1631
1,65,2000,0.505263106533568,0.1,0.619617224880383,0.13419689119171,0.2206132879046,1234432.83849983,1.117,1930
1,65,2000,0.46059220411451,0.1,0.667464114832536,0.124055135615829,0.209223847019123,1393420.31078717,1.16600000000001,2249
1,65,2000,0.419870708444391,0.1,0.691387559808612,0.113422291993721,0.194875252865813,1559547.1930585,1.099,2548
1,65,2000,0.382749447851631,0.1,0.715311004784689,0.106595365418895,0.185541421036302,1712207.09123527,1.10499999999999,2805
1,65,2000,0.348910121340677,0.1,0.732057416267943,0.0989330746847721,0.174309313585873,1865400.49808377,1.12,3093
1,65,2000,0.318062569279412,0.1,0.755980861244019,0.0938242280285036,0.166930797675647,2020975.97494884,1.176,3368
1,65,2000,0.289942285388288,0.1,0.770334928229665,0.0892213909670269,0.159920536379439,2159384.00291622,1.101,3609
1,65,2000,0.264308148697411,0.1,0.784688995215311,0.0850843060959793,0.153522115609642,2299116.22862474,1.11099999999999,3855
1,65,2000,0.240940356023952,0.1,0.80622009569378,0.0820350535540409,0.148917366327883,2432246.92827753,1.12,4108
1,65,2000,0.219638537241655,0.1,0.813397129186603,0.07801743919229,0.142378559463987,2560096.5547598,1.13499999999999,4358
1,65,2000,0.200220037181558,0.1,0.832535885167464,0.0760655737704918,0.1393951532145,2684778.13086443,1.099,4575
1,65,2000,0.182518349431904,0.1,0.837320574162679,0.0731911334169803,0.134615384615385,2800743.6601878,1.11,4782
1,65,2000,0.166381688607613,0.1,0.84688995215311,0.0712273641851107,0.131403118040089,2910106.26256558,1.122,4970
1,65,2000,0.151671688847092,0.1,0.851674641148325,0.0692876605683145,0.128149748020158,3011544.81157441,1.14099999999999,5138
1,65,2000,0.138262217376466,0.1,0.866028708133971,0.0683018867924528,0.126617698495978,3103209.88370299,1.104,5300
1,65,2000,0.126038292967973,0.1,0.873205741626794,0.0669110907424381,0.124297633236847,3195668.28713103,1.11499999999999,5455
1,65,2000,0.114895100018731,0.1,0.880382775119617,0.0658082975679542,0.122462562396007,3277032.02818868,1.128,5592
