rd_seed,Alg,perturb_strength,t,p,n_by_p,Cat,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
1337,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.1078804661359178,0.7281931464174455,0.1879208119786956,34.47821879386902,291911.9696199513,292683.44283161045
1337,Cat_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.108073817762399,0.7297507788161994,0.1882660237090616, ,293454.9160432695,
1337,Direct_alg,0.05,5,250,20.0,Cat1,0.0005,0.0001,1,0.2604931794333683,0.7733644859813084,0.3897174254317111,10.49513864517212,130469.4771839218,131020.35707329764
1337,Direct_alg,0.05,5,250,20.0,Cat2,0.0005,0.0001,1,0.2595300261096606,0.7741433021806854,0.3887368009385999,10.458520889282227,131571.23696267352,
1337,Cat_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.8126491646778043,0.530373831775701,0.6418473138548539,34.356399059295654,43535.537468981885,44363.08916638627
1337,Cat_alg,0.05,5,250,20.0,Cat2,0.0005,0.001,1,0.8139810426540285,0.5350467289719626,0.6456766917293233, ,45190.64086379065,
1337,Direct_alg,0.05,5,250,20.0,Cat1,0.0005,0.001,1,0.91864406779661,0.4221183800623053,0.5784418356456776,10.66077184677124,29312.128295909417,29891.145371630715
1337,Direct_alg,0.05,5,250,20.0,Cat2,0.0005,0.001,1,0.9053833605220228,0.4322429906542056,0.5851344227727991,10.476212978363037,30470.162447352017,
1337,Cat_alg,0.05,5,250,20.0,Cat1,0.0001,0.0001,1,0.0184750400751307,0.8886292834890965,0.0361975159811557,33.92079162597656,2006085.601761507,2007729.8512281124
1337,Cat_alg,0.05,5,250,20.0,Cat2,0.0001,0.0001,1,0.0184597961494903,0.8886292834890965,0.0361682568865502, ,2009374.100694717,
1337,Direct_alg,0.05,5,250,20.0,Cat1,0.0001,0.0001,1,0.0296752663329482,0.9003115264797508,0.0574566962399662,10.538407802581787,1234503.5174513182,1235586.172004253
1337,Direct_alg,0.05,5,250,20.0,Cat2,0.0001,0.0001,1,0.0296885014741699,0.9018691588785048,0.0574846732358708,10.561185121536255,1236668.8265571874,
1337,Cat_alg,0.05,5,250,20.0,Cat1,0.0001,0.001,1,0.1734827264239029,0.7235202492211839,0.2798614249133905,34.46803379058838,205547.47450699605,206380.3343772496
