rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime,bic value,seed,n_by_p
1994.0,10.0,250.0,5000.0,0.01,1.0,0.161048157257328,0.381216730038023,0.226127728119912,0.589788685358563,0.310961506516111,25632792.428346,2760.347,25632792.428346,1994.0,10.0
1995.0,10.0,250.0,5000.0,0.01,1.0,0.165787081353411,0.379970544918999,0.230530560273739,0.593163402321512,0.311118774026091,26080520.2834878,2628.981,26080520.2834878,1995.0,10.0
1996.0,10.0,250.0,5000.0,0.01,1.0,0.159873368372635,0.389201877934272,0.226339696846731,0.59252810822418,0.311396498403887,25270317.151694,2310.115,25270317.151694,1996.0,10.0
1997.0,10.0,250.0,5000.0,0.01,1.0,0.162600323325113,0.384422492401216,0.228222828334315,0.590037824501184,0.311619934538247,25642488.9198369,2267.317,25642488.9198369,1997.0,10.0
1998.0,10.0,250.0,5000.0,0.01,1.0,0.16436298904011,0.397821011673152,0.232301224677623,0.592627530336821,0.311422630181895,25329343.3829057,2926.387,25329343.3829057,1998.0,10.0
