n_by_p,precision_mean,precision_min,precision_max,recall_mean,recall_min,recall_max,F1_mean,F1_min,F1_max
0.25,0.7007392911082224,0.6985960144927537,0.703082347588717,0.3099396984924623,0.3095477386934673,0.3106281407035176,0.42978358558754265,0.4293352374649506,0.4308866583019657
0.5,0.9435359843508604,0.9425771442455656,0.9445036478399867,0.29119597989949747,0.287713567839196,0.2940452261306532,0.44503673640287494,0.4409658040665434,0.4482877499425419
1.0,0.9103453054656063,0.910112881497654,0.9106106659298148,0.49478894472361806,0.4922613065326633,0.4968090452261307,0.6411168547036723,0.6389355422570809,0.6428780440224989
5.0,0.867200335348203,0.8663306451612903,0.8677994557980664,0.7534874371859297,0.7517587939698492,0.7557537688442211,0.8063535442921108,0.8053619014293021,0.8072732152442298
10.0,0.8734258618824567,0.8729517790262172,0.874162301366656,0.749070351758794,0.7475628140703517,0.7505276381909548,0.806482230474224,0.805572101586614,0.8076408322180313
15.0,0.8743616653230861,0.8733341161275172,0.8754368960554527,0.7477286432160805,0.746356783919598,0.7488944723618091,0.8061019738536492,0.8051772040387613,0.8072365837474779
20.0,0.8741073207006478,0.8738486890504076,0.8745182264850393,0.7466984924623116,0.7460552763819095,0.7473366834170855,0.8053951312589881,0.8049392086964771,0.8057444790678769
25.0,0.8741309649540249,0.8736213640775271,0.8743893107304727,0.7461608040201005,0.7451256281407035,0.7473869346733668,0.8050921408606737,0.8045032214309935,0.8058953414340093
30.0,0.8010127712573432,0.8004332520985649,0.8014731241070109,0.8172462311557789,0.8166834170854271,0.8181909547738694,0.8090479824311382,0.8086243984929684,0.8096066829098504
