rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1997,10,250,5000,1e-04,0.1,0.00938168164051912,0.997368421052632,0.0185819327911197,0.745370087181554,0.290676189369362,351892293.641345,1099.835
1997,10,250,5000,0.001,0.1,0.999085193520479,0.100324781027065,0.182240047974459,0.784041596226484,0.469007763846066,351360175.633375,364.718
