T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,100,2500,1000,0.1,0,NA,NA,Inf,3.511,0
1,100,2500,911.588829975082,0.1,0,NA,NA,Inf,3.352,0
1,100,2500,830.99419493534,0.1,0,NA,NA,Inf,3.334,0
1,100,2500,757.525025877191,0.1,0,NA,NA,Inf,3.418,0
1,100,2500,690.551352016233,0.1,0,NA,NA,Inf,3.39,0
1,100,2500,629.498899022189,0.1,0,NA,NA,Inf,3.37,0
1,100,2500,573.844164830239,0.1,0,NA,NA,Inf,3.364,0
1,100,2500,523.109930805626,0.1,0,NA,NA,Inf,3.399,0
1,100,2500,476.861169771447,0.1,0,NA,NA,Inf,3.308,0
1,100,2500,434.701315812503,0.1,0,NA,NA,Inf,3.316,0
1,100,2500,396.268863870148,0.1,0,NA,NA,Inf,3.36,0
1,100,2500,361.234269970943,0.1,0,NA,NA,Inf,3.364,0
1,100,2500,329.297125509715,0.1,0,NA,NA,Inf,3.34500000000001,0
1,100,2500,300.183581357559,0.1,0,NA,NA,Inf,3.388,0
1,100,2500,273.643999707467,0.1,0,NA,NA,Inf,3.312,0
1,100,2500,249.450813523032,0.1,0,NA,NA,Inf,3.326,0
1,100,2500,227.396575235793,0.1,0,NA,NA,Inf,3.303,0
1,100,2500,207.292177959537,0.1,0,NA,NA,Inf,3.337,0
1,100,2500,188.965233969121,0.1,0,NA,NA,Inf,3.38200000000001,0
1,100,2500,172.258596539879,0.1,0,NA,NA,Inf,3.39200000000001,0
1,100,2500,157.029012472938,0.1,0,NA,NA,Inf,3.35600000000001,0
1,100,2500,143.145893752348,0.1,0,NA,NA,Inf,3.318,0
1,100,2500,130.49019780144,0.1,0,NA,NA,Inf,3.32299999999999,0
1,100,2500,118.953406737032,0.1,0,NA,NA,Inf,3.363,0
1,100,2500,108.436596868961,0.1,0,NA,NA,Inf,3.411,0
1,100,2500,98.8495904662559,0.1,0,NA,NA,Inf,3.34400000000001,0
1,100,2500,90.1101825166502,0.1,0,NA,NA,Inf,3.307,0
1,100,2500,82.1434358491943,0.1,0,NA,NA,Inf,3.337,0
1,100,2500,74.8810385759002,0.1,0,NA,NA,Inf,3.36499999999999,0
1,100,2500,68.2607183427239,0.1,0,NA,NA,Inf,3.393,0
1,100,2500,62.2257083673023,0.1,0,NA,NA,Inf,3.33800000000001,0
1,100,2500,56.7242606849198,0.1,0,NA,NA,Inf,3.29900000000001,0
1,100,2500,51.7092024289676,0.1,0,NA,NA,Inf,3.319,0
1,100,2500,47.1375313411672,0.1,0,NA,NA,Inf,3.396,0
1,100,2500,42.9700470432084,0.1,0,NA,NA,Inf,3.42700000000001,0
1,100,2500,39.1710149080926,0.1,0,NA,NA,Inf,3.354,0
1,100,2500,35.7078596490046,0.1,0,NA,NA,Inf,3.33100000000002,0
1,100,2500,32.5508859983506,0.1,0,NA,NA,Inf,3.35600000000002,0
1,100,2500,29.6730240818887,0.1,0,NA,NA,Inf,3.35900000000001,0
1,100,2500,27.0495973046313,0.1,0,NA,NA,Inf,3.334,0
1,100,2500,24.658110758226,0.1,0,NA,NA,Inf,3.34800000000001,0
1,100,2500,22.4780583354873,0.1,0,NA,NA,200294.783005752,3.34,0
1,100,2500,20.4907468981585,0.1,0,NA,NA,145540.682650904,3.327,0
1,100,2500,18.6791359902078,0.1,0,NA,NA,115370.106120741,3.386,0
1,100,2500,17.027691722259,0.1,0,NA,NA,94366.0584689488,3.35300000000001,0
1,100,2500,15.5222535742705,0.1,0,NA,NA,79454.6715744548,3.37799999999999,0
1,100,2500,14.1499129743458,0.1,0,NA,NA,67512.5154032474,3.33000000000001,0
1,100,2500,12.8989026125331,0.1,0,NA,NA,58317.9588943213,3.31200000000001,0
1,100,2500,11.7584955405216,0.1,0,0,NA,51248.1689136788,3.31899999999999,2
1,100,2500,10.7189131920513,0.1,0,0,NA,45491.7986316428,3.41,2
1,100,2500,9.7712415353465,0.1,0,0,NA,42386.6724937004,3.351,4
1,100,2500,8.90735463861044,0.1,0,0,NA,40921.5751362609,3.31299999999999,6
1,100,2500,8.11984499318401,0.1,0.000261028452101279,0.0833333333333333,0.000520426749934947,40946.55201557,3.28800000000001,12
1,100,2500,7.40195999691564,0.1,0.000522056904202558,0.08,0.00103734439834025,48416.0104544831,3.346,25
1,100,2500,6.74754405311069,0.1,0.00104411380840512,0.105263157894737,0.00206771775652623,56363.3393768122,3.36699999999999,38
1,100,2500,6.1509857885805,0.1,0.0013051422605064,0.106382978723404,0.00257864878803507,65526.8383757965,3.34800000000001,47
1,100,2500,5.60716993820546,0.1,0.00156617071260767,0.0952380952380952,0.00308166409861325,83940.9580325174,3.345,63
1,100,2500,5.11143348344017,0.1,0.00234925606891151,0.0989010989010989,0.00458949515553289,103062.388828195,3.333,91
1,100,2500,4.65952566866468,0.1,0.00313234142521535,0.0930232558139535,0.00606060606060606,134182.083225392,3.33599999999998,129
1,100,2500,4.2475715525369,0.1,0.00417645523362046,0.0930232558139535,0.00799400449662753,167556.825727131,3.35499999999999,172
1,100,2500,3.87203878181255,0.1,0.00600365439832942,0.100877192982456,0.0113328406011333,212465.006018046,3.399,228
1,100,2500,3.52970730273065,0.1,0.00835291046724093,0.106666666666667,0.0154926167998063,267265.297379278,3.339,300
1,100,2500,3.21764175025074,0.1,0.0104411380840512,0.103092783505155,0.0189618392984119,323845.653036299,3.32399999999998,388
1,100,2500,2.93316627839005,0.1,0.0133124510571652,0.107594936708861,0.0236933797909408,389471.548834431,3.364,474
1,100,2500,2.67384161583995,0.1,0.0164447924823806,0.10880829015544,0.0285714285714286,465746.121254904,3.37899999999999,579
1,100,2500,2.43744415012222,0.1,0.0221874184286087,0.121428571428571,0.0375193114102847,561556.759734357,3.33500000000001,700
1,100,2500,2.22194686093952,0.1,0.0253197598538241,0.119458128078818,0.0417833297437002,661112.096146998,3.28999999999999,812
1,100,2500,2.02550193923067,0.1,0.0326285565126599,0.129668049792531,0.0521376433785193,774920.883858036,3.28300000000002,964
1,100,2500,1.84642494289554,0.1,0.0370660401983816,0.126672613737734,0.0573505654281099,908637.817486606,3.39100000000002,1121
1,100,2500,1.68318035333096,0.1,0.0412424954320021,0.122766122766123,0.0617428683079328,1046475.21229217,3.40900000000002,1287
1,100,2500,1.53436840893001,0.1,0.0469851213782302,0.123372172721042,0.0680529300567108,1185997.85575658,3.34,1459
1,100,2500,1.39871310264724,0.1,0.0535108326807622,0.125766871165644,0.0750778245742538,1342573.51969766,3.37,1630
1,100,2500,1.27505124071301,0.1,0.060819629339598,0.127531472359059,0.0823612583951926,1501224.86655561,3.36599999999999,1827
1,100,2500,1.16232246867985,0.1,0.0712607674236492,0.132331555986428,0.0926365795724465,1686626.92308293,3.345,2063
1,100,2500,1.05956017927762,0.1,0.0811798486034978,0.1357485814055,0.101600784057498,1892300.19988396,3.35899999999998,2291
1,100,2500,0.96588322411587,0.1,0.0965805272774732,0.14192558496356,0.114942528735632,2146562.33609767,3.39400000000001,2607
1,100,2500,0.880488358164346,0.1,0.109631949882537,0.143003064351379,0.124113475177305,2416636.26874871,3.33699999999999,2937
1,100,2500,0.802643352225717,0.1,0.1224223440355,0.142813641900122,0.13183415319747,2720725.54018342,3.339,3284
1,100,2500,0.731680714342719,0.1,0.141477421038893,0.146645021645022,0.144014879766175,3072179.31429739,3.34200000000004,3696
1,100,2500,0.666991966303012,0.1,0.159749412685983,0.146797793235788,0.153,3480705.13254146,3.37,4169
1,100,2500,0.608022426164942,0.1,0.180109631949883,0.149577281595491,0.163429654192326,3889655.8009514,3.32299999999998,4613
1,100,2500,0.554266452066311,0.1,0.203341164186896,0.151232770335857,0.173458027165442,4339489.72097776,3.32299999999998,5151
1,100,2500,0.505263106533568,0.1,0.228921952492822,0.153000697836706,0.183415246261633,4837083.06393442,3.37199999999996,5732
1,100,2500,0.46059220411451,0.1,0.254241712346646,0.153870458135861,0.191713414034052,5325384.64750837,3.39599999999996,6330
1,100,2500,0.419870708444391,0.1,0.279039415296267,0.154056780515924,0.198514391829155,5848090.04206626,3.35199999999998,6939
1,100,2500,0.382749447851631,0.1,0.306708431219003,0.154727416381354,0.205689277899344,6389418.02392916,3.322,7594
1,100,2500,0.348910121340677,0.1,0.33672670321065,0.155966630395357,0.213187902825979,6944107.28877689,3.32500000000005,8271
1,100,2500,0.318062569279412,0.1,0.364134690681284,0.156197514276117,0.218617771509168,7463603.77973391,3.32600000000002,8931
1,100,2500,0.289942285388288,0.1,0.395197076481336,0.156308073508156,0.224014204335281,8053508.07541629,3.31600000000003,9686
