rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1998,10,250,5000,1e-04,0.1,0.00863445666055023,1,0.0171120828534401,0.740086498354605,0.287540955229381,351895131.146248,1502.706
1998,10,250,5000,0.001,0.1,0.999356772173909,0.100352289528463,0.182290043250463,0.776564400765265,0.469172993224933,351358794.8033,285.782
