rd_seed,L,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime,seed,n_by_p
1994.0,10.0,250.0,5000.0,0.005,0.1,0.116023539971387,0.82612898747288,0.203340302619953,0.751291328822145,0.369752697606652,16629620.1826347,4.174,1994.0,10.0
1995.0,10.0,250.0,5000.0,0.005,0.1,0.11528907219229,0.822458725391257,0.202121189222948,0.742272624065301,0.369909754628384,16637443.4328752,4.036,1995.0,10.0
1996.0,10.0,250.0,5000.0,0.005,0.1,0.11501087591183,0.827958655507024,0.201822935713091,0.756602264147825,0.37030977691276,16593306.9101455,4.1,1996.0,10.0
1997.0,10.0,250.0,5000.0,0.005,0.1,0.114399321213389,0.825404406787326,0.200795963744648,0.765872168040972,0.370518533947386,16571323.0024356,3.898,1997.0,10.0
1998.0,10.0,250.0,5000.0,0.005,0.1,0.113284273990895,0.832840444683323,0.199337580943613,0.756785392544541,0.37107268497441,16491625.0967459,4.048,1998.0,10.0
