population,p,N,Recall,Precision,F1,AUPRC,runtime_s,total_edges_directed
"1",65,2000,0.830188679245283,0.07085346215781,0.130563798219585,0.0551492234222132,0.093,621
"2",65,2000,0.901960784313726,0.0787671232876712,0.14488188976378,0.0591899154375619,0.093,584
"3",65,2000,0.871794871794872,0.0560131795716639,0.105263157894737,0.045037297282757,0.103,607
"4",65,2000,0.661016949152542,0.0644628099173554,0.117469879518072,0.0571410316836867,0.104,605
"5",65,2000,0.722222222222222,0.0793893129770992,0.143053645116919,0.0732030892341551,0.0840000000000001,655
"6",65,2000,0.875,0.0701168614357262,0.129829984544049,0.0568906458054957,0.0900000000000003,599
"7",65,2000,0.854166666666667,0.0699658703071672,0.129337539432177,0.0534177006037998,0.102,586
"8",65,2000,0.8125,0.0631067961165049,0.117117117117117,0.0519308477476245,0.089,618
"global",65,2000,0.80622009569378,0.0691282051282051,0.127337993576422,0.0558508239110514,0.758,4875
