rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min)
1339,20,2000,2000.0,0.001,0.0001,1,80021360.6952335,0.8194940401347885,0.4093969849246231,0.5460181291154935,62.946174871968104
1339,20,2000,2000.0,0.0005,0.0001,1,81132509.04509796,0.4380446019790282,0.6707035175879397,0.5299635692234388,69.21824168834524
1339,20,2000,2000.0,0.0002,0.0001,1,231394319.4063198,0.00847095262044527,0.8870100502512562,0.016781640448968183,122.624834614542
1339,20,2000,2000.0,0.001,0.0002,1,79924093.33039048,0.8692056836710925,0.3750251256281407,0.523976690304009,62.87003771211797
1339,20,2000,2000.0,0.0001,0.0001,1,892153052.3100103,0.0017425102932713758,0.9507788944723619,0.003478645208295155,138.63257816162272
1339,20,2000,2000.0,0.0005,0.0002,1,80371018.14356211,0.6232058315172465,0.6251005025125628,0.6241517291554295,68.519813853836
1339,20,2000,2000.0,0.001,0.0005,1,79823778.90557526,0.9144513574660633,0.3249748743718593,0.4795343318997479,63.14765349929997
1339,20,2000,2000.0,0.0005,0.0005,1,79893287.49712841,0.8342857142857143,0.5539195979899497,0.6657908644771611,68.5335155154656
1339,20,2000,2000.0,0.0002,0.0002,1,156975454.7028423,0.015523206337415264,0.8474371859296482,0.03048793991720854,112.90163780859051
1339,20,2000,2000.0,0.001,0.001,1,79759447.96164706,0.9433184761584391,0.28183417085427137,0.43400205064711456,63.642004399599195
1339,20,2000,2000.0,0.0001,0.0002,1,646657854.0618275,0.002425934905523575,0.9289447236180904,0.004839232178302381,133.98731173637012
1339,20,2000,2000.0,0.0005,0.001,1,79728164.46696503,0.9101128814976541,0.4922613065326633,0.6389355422570809,68.76484179017135
1339,20,2000,2000.0,0.0002,0.0005,1,101648011.72158049,0.04750331720707124,0.7852763819095477,0.08958727765491957,94.6680969707823
1339,20,2000,2000.0,0.0001,0.0005,1,322895592.0021308,0.005293435278752221,0.8861557788944724,0.010524005603214641,127.20519849720101
1339,20,2000,2000.0,0.0002,0.001,1,84666853.39869738,0.16276499376150133,0.7178140703517588,0.265359483195014,79.24615146991177
1339,20,2000,2000.0,0.0001,0.001,1,171230334.56698745,0.012893047294574947,0.8393969849246231,0.02539601454067786,122.04073554083395
1339,20,2000,2000.0,0.001,0.001,1,79759447.96164706,0.9433184761584391,0.28183417085427137,0.43400205064711456,62.9841812745668
1339,20,2000,2000.0,0.0005,0.001,1,79728164.46696503,0.9101128814976541,0.4922613065326633,0.6389355422570809,64.89547615069895
1339,20,2000,2000.0,0.0002,0.001,1,84666853.39869738,0.16276499376150133,0.7178140703517588,0.265359483195014,80.08888116047407
1339,20,2000,2000.0,0.0001,0.001,1,171230334.56698745,0.012893047294574947,0.8393969849246231,0.02539601454067786,119.8246997836822
