rd_seed,L,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime(s)
1996,10,250,5000,100,0.1,0,NA,NA,0.385738645854353,1,Inf,26.162
1996,10,250,5000,93.2930402628469,0.1,0,NA,NA,0.385738645854353,1,Inf,26.626
1996,10,250,5000,87.0359136148516,0.1,0,NA,NA,0.385738645854353,1,Inf,26.168
1996,10,250,5000,81.1984499318401,0.1,0,NA,NA,0.385738645854353,1,Inf,26.058
1996,10,250,5000,75.7525025877191,0.1,0,NA,NA,0.385738645854353,1,Inf,26.076
1996,10,250,5000,70.6718127392749,0.1,0,NA,NA,0.385738645854353,1,Inf,26.265
1996,10,250,5000,65.9318827133355,0.1,0,NA,NA,0.385738645854353,1,Inf,25.919
1996,10,250,5000,61.509857885805,0.1,0,NA,NA,0.385738645854353,1,Inf,25.941
1996,10,250,5000,57.384416483024,0.1,0,NA,NA,0.385738645854353,1,Inf,25.999
1996,10,250,5000,53.5356667741072,0.1,0,NA,NA,0.385738645854353,1,Inf,25.909
1996,10,250,5000,49.9450511585514,0.1,0,NA,NA,0.385738645854353,1,Inf,25.927
1996,10,250,5000,46.5952566866468,0.1,0,NA,NA,0.385738645854353,1,Inf,26.071
1996,10,250,5000,43.4701315812502,0.1,0,NA,NA,0.385738645854353,1,Inf,26.148
1996,10,250,5000,40.5546073584083,0.1,0,NA,NA,0.385738645854353,1,Inf,26.077
1996,10,250,5000,37.8346261713193,0.1,0,NA,NA,0.385738645854353,1,Inf,25.551
1996,10,250,5000,35.2970730273065,0.1,0,NA,NA,0.385738645854353,1,Inf,25.79
1996,10,250,5000,32.9297125509715,0.1,0,NA,NA,0.385738645854353,1,Inf,25.656
1996,10,250,5000,30.7211299886176,0.1,0,NA,NA,0.385738645854353,1,Inf,25.571
1996,10,250,5000,28.6606761694825,0.1,0,NA,NA,0.385738645854353,1,27148851.5424168,25.724
1996,10,250,5000,26.7384161583995,0.1,0,NA,NA,0.385738645854353,1,22900448.8946611,25.946
1996,10,250,5000,24.9450813523032,0.1,0,NA,NA,0.385738645854353,1,20315712.7236051,25.563
1996,10,250,5000,23.2720247896041,0.1,0,NA,NA,0.385738645854353,1,18553926.8268009,25.7329999999999
1996,10,250,5000,21.711179456945,0.1,3.17863954227591e-05,NA,NA,0.387117793734735,1.00014499921567,17280667.6381053,25.754
