n,rd_seed,t,p,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
250.0,12850.6,20.0,250.0,0.005,0.00075,1.0,0.9342534301239234,0.21663014655381901,0.3517062345321499,79.32997903823852,1259549.5619774773,1259390.2739603443
1250.0,12850.6,20.0,250.0,0.005,0.00075,1.0,0.9994486625396511,0.20738803530565536,0.3434989967473065,76.71015067100525,6250925.987551477,6250810.749168268
2500.0,12850.6,20.0,250.0,0.0006000000000000001,0.00075,1.0,0.7573787812835129,0.5525182981808548,0.6329037930839393,84.88637647628784,12618835.699769868,12618401.908546578
3750.0,12850.6,20.0,250.0,0.0005,0.00075,1.0,0.8757981101377148,0.571082207369833,0.6913514746797589,83.82638821601867,18807027.155380696,18805701.38739686
5000.0,12850.6,20.0,250.0,0.0005,0.00075,1.0,0.898139048253839,0.565991135409954,0.6943862080746221,83.39244060516357,25019967.215136357,25018649.82275974
6250.0,12850.6,20.0,250.0,0.0005,0.00075,1.0,0.9030159202527269,0.564331558282374,0.6945855952149482,82.83602499961853,31236670.08501665,31235889.708806623
7500.0,12850.6,20.0,250.0,0.0005,0.00075,1.0,0.9037928089746945,0.5616529616439958,0.6927794306194164,86.13592228889465,37453303.311490335,37452539.19790218
