Method,Seed,CPU,L,AUPRC
AUPRC,1994,20,10,0.6491
AUPRC,1995,20,10,0.649
AUPRC,1996,20,10,0.6451
AUPRC,1997,20,10,0.6483
AUPRC,1998,20,10,0.6515
