rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min)
1338,20,2000,1000.0,0.001,0.0001,1,40430017.20642982,0.8005740906310291,0.42746231155778897,0.5573373081522006,65.36617997045008
1338,20,2000,1000.0,0.0005,0.0001,1,65315712.50372577,0.038862354653576035,0.7057286432160804,0.0736680322494348,79.52962098386294
1338,20,2000,1000.0,0.001,0.0002,1,40315819.4839148,0.8596694854363566,0.3908040201005025,0.5373361200836025,65.16162674964094
1338,20,2000,1000.0,0.0002,0.0001,1,1282897477.6245725,0.001144502824155489,0.9626381909547739,0.0022862874282745427,151.54408582891338
1338,20,2000,1000.0,0.0005,0.0002,1,53310484.50135073,0.06679120716905355,0.6593718592964825,0.12129573780190475,73.71903400014465
1338,20,2000,1000.0,0.0001,0.0001,1,inf,0.0009949726021545762,0.9955025125628141,0.001987958304203982,168.20069394451565
1338,20,2000,1000.0,0.001,0.0005,1,40198619.49592175,0.9152588370988534,0.33894472361809047,0.49469187187150476,64.633044515814
1338,20,2000,1000.0,0.0005,0.0005,1,44071552.6400045,0.1739699100890141,0.5848492462311558,0.2681697475215871,68.11110034617596
1338,20,2000,1000.0,0.001,0.001,1,40120648.90365453,0.9425771442455657,0.2924120603015075,0.4463535773870021,64.68687096470967
1338,20,2000,1000.0,0.0005,0.001,1,41140062.678828046,0.4251987918387475,0.5199497487437186,0.46782488781381054,65.59657891523094
1338,20,2000,1000.0,0.0002,0.0002,1,1184573181.7612975,0.001222776966732937,0.9474623115577889,0.002442401815806477,148.6459294528002
1338,20,2000,1000.0,0.0001,0.0002,1,inf,0.000995291307211548,0.9941708542713568,0.001988591781453924,167.36516571482645
1338,20,2000,1000.0,0.0002,0.0005,1,994189756.6529654,0.001418112688558131,0.9167587939698493,0.0028318448626797393,146.65978169748558
1338,20,2000,1000.0,0.0001,0.0005,1,inf,0.0009954223643995391,0.9910301507537689,0.001988847067225834,167.32745863079714
1338,20,2000,1000.0,0.0002,0.001,1,789773505.7823143,0.0017324712011317672,0.8808291457286432,0.003458140709542765,142.71447913291243
1338,20,2000,1000.0,0.0001,0.001,1,inf,0.0009958730100429543,0.9878140703517588,0.0019897400470295285,168.2825284860873
1338,20,2000,1000.0,0.0005,0.001,1,41140062.678828046,0.4251987918387475,0.5199497487437186,0.46782488781381054,66.32342162216858
1338,20,2000,1000.0,0.001,0.001,1,40120648.90365453,0.9425771442455657,0.2924120603015075,0.4463535773870021,66.22227884434784
1338,20,2000,1000.0,0.0002,0.001,1,789773505.7823143,0.0017324712011317672,0.8808291457286432,0.003458140709542765,149.23806491118546
1338,20,2000,1000.0,0.0001,0.001,1,inf,0.0009958730100429543,0.9878140703517588,0.0019897400470295285,162.43959730326895
