rd_seed,L,p,N,Lamb1,Lamb2,tau_sq,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1995,10,250,5000,0.001,0.1,100,0.999331998235142,0.100349177873109,0.182284324256597,0.763562041806356,0.470232617558225,351358324.206627,55.732
1995,10,250,5000,0.001,0.1,91.1588829975082,0.999331998235142,0.100349129083934,0.182284260424501,0.763556314290166,0.470228109861438,351358338.597349,55.633
1995,10,250,5000,0.001,0.1,83.099419493534,0.999331998235142,0.100349116227378,0.182284243151914,0.763550034079132,0.4702231656573,351358354.382034,55.543
1995,10,250,5000,0.001,0.1,75.7525025877191,0.999331998235142,0.100349719452816,0.182285251103215,0.763543148134648,0.470217742747843,351358371.695523,55.67
1995,10,250,5000,0.001,0.1,69.0551352016233,0.999331998235142,0.100349769700842,0.182285320129199,0.763535598388038,0.470211794870279,351358390.685666,56.237
1995,10,250,5000,0.001,0.1,62.9498899022189,0.999331998235142,0.100348734751837,0.18228363223945,0.763527321275573,0.470205271308392,351358411.514566,56.865
1995,10,250,5000,0.001,0.1,57.384416483024,0.999331998235142,0.100348712390404,0.182283600359147,0.763518247232934,0.470198116467371,351358434.359944,56.691
1995,10,250,5000,0.001,0.1,52.3109930805626,0.999331998235142,0.100348720494798,0.182283611259614,0.763508300146109,0.470190269408782,351358459.416632,56.279
1995,10,250,5000,0.001,0.1,47.6861169771447,0.999365954092527,0.100352638291277,0.182290628780235,0.763497396755526,0.470181663342061,351358486.898214,56.229
1995,10,250,5000,0.001,0.1,43.4701315812502,0.999365954092527,0.100352954903038,0.182291151723277,0.7634854460102,0.470172225068658,351358517.038802,56.242
1995,10,250,5000,0.001,0.1,39.6268863870148,0.999365954092527,0.100352954903038,0.182291151723277,0.763472348368534,0.47016187437463,351358550.095006,56.21
1995,10,250,5000,0.001,0.1,36.1234269970943,0.999365954092527,0.100354239012002,0.182293273207171,0.763457995042409,0.470150523367142,351358586.348058,55.679
1995,10,250,5000,0.001,0.1,32.9297125509715,0.999372270370035,0.100356237936808,0.182296665105028,0.763442267181199,0.470138075750016,351358626.10616,55.572
1995,10,250,5000,0.001,0.1,30.0183581357559,0.999372270370035,0.100357288592852,0.182298375991442,0.763425034992431,0.470124426033082,351358669.707029,55.385
1995,10,250,5000,0.001,0.1,27.3643999707467,0.999401673486765,0.100359869152672,0.182303122871227,0.763406156795943,0.470109458669712,351358717.520688,55.33
1995,10,250,5000,0.001,0.1,24.9450813523032,0.999429313066643,0.100363619608783,0.182309800425472,0.763385478008649,0.470093047116548,351358769.952507,55.366
