population,t,p,n,precision,recall,F1,Time(sec),AUPRC
0,10,200,2000,0.11831905344757242,0.42584434654919234,0.18518518518518517,7.26675886195153,0.1195299868766422
1,10,200,2000,0.13853317811408614,0.43857493857493857,0.21055735771158948,13.823565375059843,0.1403986436170443
2,10,200,2000,0.08085277554304103,0.4258474576271186,0.1359026369168357,20.466304885223508,0.09388572491084185
3,10,200,2000,0.112778730703259,0.36176066024759285,0.17195161817587445,27.133299027569592,0.11758866992307312
4,10,200,2000,0.10684121621621621,0.37151248164464024,0.16595605116431617,33.51026131771505,0.11301429932765765
5,10,200,2000,0.12297734627831715,0.4021164021164021,0.18835192069392812,40.02928833756596,0.12581587496720273
6,10,200,2000,0.14752758479771147,0.42621015348288077,0.21918639951426833,46.565948301926255,0.1417188695456655
7,10,200,2000,0.13123254886318308,0.4051724137931034,0.19825248568846035,52.857869854196906,0.13718969460503055
8,10,200,2000,0.095878889823381,0.37748344370860926,0.15291750503018112,59.60835290607065,0.09794965831194827
9,10,200,2000,0.14082145850796313,0.3870967741935484,0.20651505838967427,65.96126900520176,0.14214155654501606
GLOBAL,10,200,2000,0.1197344697590559,0.40236849352795373,0.1845512537106044,65.96126900520176,0.1221983971296857
