rand_seed,t,p,n,nu_0,mu,gamma,bic value,precision,recall,F1,Time(min)
1998,10,250,5000.0,0.005,0.0001,1,12465222.658354588,0.8068043742405833,0.2710204081632653,0.4057439657806294,0.506504287958766
1998,10,250,5000.0,0.0005,0.0001,1,12570756.929992178,0.22214752208989627,0.9440816326530612,0.35966412688539884,0.6122154264866064
1998,10,250,5000.0,0.001,0.0001,1,12406788.53757779,0.5391727493917275,0.9044897959183673,0.675609756097561,0.6514774819215139
1998,10,250,5000.0,0.0001,0.0001,1,14630416.17249535,0.028970918599084225,0.963265306122449,0.05625007448367914,0.9723610067584862
1998,10,250,5000.0,0.005,0.001,1,12460783.737641407,0.9354838709677419,0.1657142857142857,0.28155339805825247,0.5113986155173431
1998,10,250,5000.0,0.0005,0.001,1,12345292.297289245,0.8226921512810086,0.8257142857142857,0.8242004481564474,0.5289624440638969
1998,10,250,5000.0,0.001,0.001,1,12349667.881594835,0.8519383465670247,0.7444897959183674,0.7945981267697669,0.6431929579780747
1998,10,250,5000.0,0.0001,0.001,1,12355151.467030484,0.6986079637423114,0.8808163265306123,0.7792020220256364,0.6649759125119696
1998,10,250,5000.0,0.0001,0.0002,1,13332852.49253216,0.061483253588516744,0.9440816326530612,0.11544796605939604,0.8481610102734218
1998,10,250,5000.0,0.0005,0.0002,1,12429028.735425731,0.41242009132420093,0.9216326530612244,0.5698422712933754,0.6532250449992716
1998,10,250,5000.0,0.0001,0.0005,1,12482502.662600353,0.28564154786150714,0.9159183673469388,0.43547448088492136,0.7116751072152208
1998,10,250,5000.0,0.0005,0.0005,1,12361186.575996831,0.7077730403410954,0.8808163265306123,0.784869976359338,0.6039389328410228
1998,10,250,5000.0,0.005,0.0002,1,12462346.056083666,0.8565217391304348,0.24122448979591837,0.37643312101910825,0.537171476908649
1998,10,250,5000.0,0.001,0.0002,1,12383664.706097344,0.6402274768033522,0.873061224489796,0.7387325159730617,0.5841468898889919
1998,10,250,5000.0,0.005,0.0005,1,12460386.447873466,0.902803738317757,0.19714285714285715,0.32361809045226136,0.5483015552007904
1998,10,250,5000.0,0.001,0.0005,1,12360755.34876747,0.7737538940809969,0.8110204081632653,0.7919489836588282,0.6067112715449184
