n,p,lambda(),mu0(),gamma,bic,recall1,recall2,recall3,recall_avg,precision1,precision2,precision3,precision_avg,f1_1,f1_2,f1_3,f1_avg,Time(mins), mask_diag, no_edges, 
200,65,6.826072e-02,1.000000e-04,1.000000e+00,-14567.812,0.356,0.197,0.799,0.450,0.229,0.277,0.309,0.272,0.279,0.230,0.446,0.318,0.010,1,2921 
200,65,6.222571e-02,1.000000e-04,1.000000e+00,-13655.913,0.372,0.223,0.816,0.471,0.232,0.273,0.312,0.273,0.286,0.246,0.451,0.328,0.009,1,3005 
200,65,5.672426e-02,1.000000e-04,1.000000e+00,-12446.046,0.377,0.239,0.823,0.479,0.230,0.276,0.312,0.273,0.285,0.256,0.452,0.331,0.008,1,3063 
200,65,5.170920e-02,1.000000e-04,1.000000e+00,-11159.896,0.385,0.265,0.826,0.492,0.230,0.286,0.311,0.276,0.288,0.275,0.452,0.338,0.009,1,3123 
200,65,4.713753e-02,1.000000e-04,1.000000e+00,-10268.820,0.402,0.269,0.826,0.499,0.235,0.275,0.309,0.273,0.297,0.272,0.449,0.339,0.009,1,3182 
200,65,4.297005e-02,1.000000e-04,1.000000e+00,-8540.374,0.410,0.292,0.826,0.509,0.230,0.265,0.307,0.267,0.295,0.277,0.448,0.340,0.008,1,3260 
200,65,3.917101e-02,1.000000e-04,1.000000e+00,-11441.333,0.418,0.307,0.840,0.522,0.231,0.262,0.309,0.268,0.298,0.283,0.452,0.344,0.008,1,3340 
200,65,3.570786e-02,1.000000e-04,1.000000e+00,-11761.444,0.423,0.311,0.840,0.524,0.228,0.258,0.308,0.265,0.296,0.282,0.451,0.343,0.008,1,3396 
200,65,3.255089e-02,1.000000e-04,1.000000e+00,-10629.213,0.435,0.326,0.847,0.536,0.228,0.255,0.310,0.264,0.299,0.286,0.454,0.346,0.009,1,3465 
200,65,2.967302e-02,1.000000e-04,1.000000e+00,-9271.644,0.444,0.337,0.851,0.544,0.229,0.254,0.309,0.264,0.302,0.290,0.454,0.349,0.009,1,3533 
200,65,2.704960e-02,1.000000e-04,1.000000e+00,-8494.034,0.456,0.364,0.861,0.560,0.232,0.264,0.310,0.269,0.307,0.306,0.456,0.357,0.008,1,3599 
200,65,2.465811e-02,1.000000e-04,1.000000e+00,-6735.942,0.460,0.379,0.861,0.567,0.231,0.262,0.310,0.268,0.308,0.310,0.456,0.358,0.009,1,3666 
200,65,2.247806e-02,1.000000e-04,1.000000e+00,-5247.708,0.464,0.390,0.865,0.573,0.228,0.266,0.310,0.268,0.306,0.316,0.456,0.360,0.009,1,3718 
200,65,2.049075e-02,1.000000e-04,1.000000e+00,-5121.477,0.469,0.405,0.868,0.581,0.226,0.266,0.311,0.268,0.305,0.321,0.458,0.361,0.009,1,3772 
200,65,1.867914e-02,1.000000e-04,1.000000e+00,-3505.944,0.481,0.417,0.868,0.589,0.225,0.264,0.309,0.266,0.307,0.323,0.456,0.362,0.008,1,3837 
200,65,1.702769e-02,1.000000e-04,1.000000e+00,-2526.733,0.481,0.432,0.868,0.594,0.223,0.268,0.307,0.266,0.305,0.331,0.453,0.363,0.008,1,3880 
200,65,1.552225e-02,1.000000e-04,1.000000e+00,-2210.010,0.490,0.432,0.868,0.596,0.224,0.262,0.305,0.264,0.307,0.326,0.451,0.362,0.009,1,3934 
200,65,1.414991e-02,1.000000e-04,1.000000e+00,-755.622,0.490,0.439,0.872,0.600,0.223,0.262,0.306,0.263,0.306,0.328,0.453,0.362,0.008,1,3971 
200,65,1.289890e-02,1.000000e-04,1.000000e+00,29687.993,0.515,0.455,0.872,0.614,0.230,0.264,0.305,0.266,0.318,0.334,0.452,0.368,0.008,1,4008 
200,65,1.175850e-02,1.000000e-04,1.000000e+00,29246.968,0.523,0.462,0.872,0.619,0.229,0.263,0.305,0.265,0.318,0.335,0.451,0.368,0.008,1,4060 
200,65,1.071891e-02,1.000000e-04,1.000000e+00,29998.294,0.527,0.477,0.878,0.628,0.226,0.268,0.304,0.266,0.317,0.343,0.452,0.371,0.008,1,4104 
200,65,9.771242e-03,1.000000e-04,1.000000e+00,30033.462,0.544,0.485,0.878,0.636,0.231,0.270,0.304,0.268,0.325,0.347,0.451,0.374,0.008,1,4143 
