Method,n,Dataset,AUPRC
Code_l1,200,1,0.16
Code_l1,200,2,0.18
Code_l1,200,3,0.28
Code_l1,1000,1,0.15
Code_l1,1000,2,0.09
Code_l1,1000,3,0.2
Code_l1,2000,1,0.11
Code_l1,2000,2,0.07
Code_l1,2000,3,0.2
