perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9577771317825766,0.608222305734568,0.7439646748275679,11.079171466827393,29263.18521496123,29263.185214961228
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9404939316656465,0.6033507228966288,0.7350879040173031,11.014980673789978,31667.198763608136,31667.198763608136
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9164004674140532,0.597804054163736,0.7235419207614038,11.102615928649902,36034.94452368557,36034.94452368557
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8702053709193844,0.5870863511194547,0.7010764617535323,11.194389533996581,48287.19708555266,48287.19708555266
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8406057407168749,0.5608690768830802,0.6728008659018465,11.010088562965393,63268.546832397034,63268.546832397034
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8488697786361682,0.5084088327883062,0.6359332712949698,11.17558422088623,80700.90648770313,80700.90648770313
