perturb_strength,rd_seed,t,p,n_by_p,nu_0,mu,gamma,precision,recall,F1,bic,bic_mean
0.05,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8952999256236167,0.6826446886808926,0.7746350145225767,43710.66255177431,43710.66255177431
0.1,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8971052910810332,0.6787435889872071,0.7727879249630784,47904.845221947064,47904.84522194706
0.2,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.8998546378566221,0.6754803458162341,0.7716849108594934,55937.34062407368,55937.34062407368
0.5,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9049076777468834,0.6690080179993315,0.7692526640211225,78113.72861807942,78113.72861807942
1.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.91469514157303,0.6529395514743639,0.7619516089989522,106581.91605620921,106581.91605620921
2.0,1339.0,5.0,250.0,20.0,0.0005,0.001,1.0,0.9319314173229035,0.6141508822329348,0.7403753848349013,141557.8968081943,141557.8968081943
