rd_seed,L,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime(s)
1997,10,250,5000,100,0.1,0,NA,NA,0.385738645854353,1,Inf,28.424
1997,10,250,5000,93.2930402628469,0.1,0,NA,NA,0.385738645854353,1,Inf,27.565
1997,10,250,5000,87.0359136148516,0.1,0,NA,NA,0.385738645854353,1,Inf,27.689
1997,10,250,5000,81.1984499318401,0.1,0,NA,NA,0.385738645854353,1,Inf,27.566
1997,10,250,5000,75.7525025877191,0.1,0,NA,NA,0.385738645854353,1,Inf,27.569
1997,10,250,5000,70.6718127392749,0.1,0,NA,NA,0.385738645854353,1,Inf,27.583
1997,10,250,5000,65.9318827133355,0.1,0,NA,NA,0.385738645854353,1,Inf,27.489
1997,10,250,5000,61.509857885805,0.1,0,NA,NA,0.385738645854353,1,Inf,27.301
1997,10,250,5000,57.384416483024,0.1,0,NA,NA,0.385738645854353,1,Inf,27.665
1997,10,250,5000,53.5356667741072,0.1,0,NA,NA,0.385738645854353,1,Inf,27.339
1997,10,250,5000,49.9450511585514,0.1,0,NA,NA,0.385738645854353,1,Inf,27.402
1997,10,250,5000,46.5952566866468,0.1,0,NA,NA,0.385738645854353,1,Inf,27.585
1997,10,250,5000,43.4701315812502,0.1,0,NA,NA,0.385738645854353,1,Inf,27.485
1997,10,250,5000,40.5546073584083,0.1,0,NA,NA,0.385738645854353,1,Inf,27.49
1997,10,250,5000,37.8346261713193,0.1,0,NA,NA,0.385738645854353,1,Inf,27.439
1997,10,250,5000,35.2970730273065,0.1,0,NA,NA,0.385738645854353,1,Inf,27.977
1997,10,250,5000,32.9297125509715,0.1,0,NA,NA,0.385738645854353,1,Inf,27.853
1997,10,250,5000,30.7211299886176,0.1,0,NA,NA,0.385738645854353,1,Inf,27.5240000000001
1997,10,250,5000,28.6606761694825,0.1,0,NA,NA,0.385738645854353,1,27071539.8671417,27.545
1997,10,250,5000,26.7384161583995,0.1,0,NA,NA,0.385738645854353,1,22850765.7096826,27.577
1997,10,250,5000,24.9450813523032,0.1,0,NA,NA,0.385738645854353,1,20278659.8777542,27.6320000000001
1997,10,250,5000,23.2720247896041,0.1,0,NA,NA,0.385738645854353,1,18524128.4250314,27.478
1997,10,250,5000,21.711179456945,0.1,3.17863954227591e-05,NA,NA,0.389407111278178,1.00039344413577,17255419.897921,27.3819999999999
1997,10,250,5000,20.2550193923067,0.1,3.17863954227591e-05,NA,NA,0.39371299849455,1.00088672417443,16302295.2609925,27.292
1997,10,250,5000,18.8965233969121,0.1,3.17863954227591e-05,NA,NA,0.397730091588993,1.00137714929376,15568717.8705363,27.539
1997,10,250,5000,17.6291411809595,0.1,3.17863954227591e-05,NA,NA,0.401477759866987,1.00186061218722,14993814.4676353,27.4680000000001
