rd_seed,Alg,perturb_strength,t,p,n_by_p,Cat,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.0001,1,0.1452963567156063,0.7300546448087432,0.2423582766439909,35.62491798400879,330899.2198181507,334800.66531018884
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.0001,1,0.1448099102947458,0.7422003284072249,0.2423375927084264, ,338702.110802227,
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.0001,1,0.2583349209373214,0.740983606557377,0.3831049583274474,10.968512058258057,181422.70735219336,184122.25269683416
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.0001,1,0.2589434661723818,0.7646414887794198,0.3868734422597618,10.766773223876953,186821.79804147492,
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8440677966101695,0.5442622950819672,0.6617940199335548,35.261207818984985,76334.19881917606,77897.87812208495
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.001,1,0.8474295190713101,0.5593869731800766,0.673920211012199, ,79461.55742499382,
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.7903711133400201,0.4306010928961749,0.5574814290767599,10.863753080368042,46611.52186372181,47439.883546607954
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.001,1,0.7970873786407767,0.4493705528188287,0.5747287364368219,10.876863241195679,48268.245229494096,
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.0001,1,0.0260320715121029,0.8879781420765027,0.0505812958149813,35.945852279663086,2055937.6823739544,2057536.6781350595
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.0001,1,0.0261235865073517,0.89272030651341,0.0507617372901137, ,2059135.673896164,
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.0001,1,0.0387962291515591,0.8770491803278688,0.0743055555555555,10.86645245552063,1318036.2026774215,1318922.182298436
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.0001,1,0.0392317912791399,0.8888888888888888,0.0751469159224468,10.84562063217163,1319808.1619194506,
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.001,1,0.2125162972620599,0.7125683060109289,0.3273914135074064,35.0833945274353,258119.0431470375,260576.19944429625
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.001,1,0.2169354838709677,0.7361795292829776,0.3351189734645571, ,263033.355741555,
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.001,1,0.6979909267660401,0.5885245901639344,0.6386006522383635,10.864532947540283,71031.29620591667,71788.76529469088
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.001,1,0.7012078830260648,0.6037219485495348,0.6488235294117648,10.78309416770935,72546.23438346507,
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.0001,1,0.1452963567156063,0.7300546448087432,0.24235827664399093,39.98062515258789,330899.2198181507,334800.66531018884
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.0001,1,0.14480991029474582,0.7422003284072249,0.2423375927084264, ,338702.110802227
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.0001,1,0.2583349209373214,0.740983606557377,0.3831049583274474,12.82799744606018,181422.70735219336,184122.25269683416
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.0001,1,0.25894346617238184,0.7646414887794198,0.38687344225976183,12.97433352470398,186821.79804147498
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.8440677966101695,0.5442622950819672,0.6617940199335548,39.893184423446655,76334.19881917606,77897.87812208495
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.001,1,0.8474295190713101,0.5593869731800766,0.673920211012199, ,79461.55742499382
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.001,1,0.7903711133400201,0.4306010928961749,0.5574814290767599,12.7631356716156,46611.52186372181,47439.883546607954
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.001,1,0.7970873786407767,0.4493705528188287,0.5747287364368219,12.541531324386597,48268.245229494096
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.0001,1,0.02603207151210291,0.8879781420765027,0.05058129581498139,40.80362033843994,2055937.6823739544,2057536.6781350593
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.0001,1,0.026123586507351762,0.89272030651341,0.050761737290113754, ,2059135.6738961642
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.0001,1,0.0387962291515591,0.8770491803278688,0.07430555555555556,12.564376831054688,1318036.2026774215,1318922.182298436
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.0001,1,0.03923179127913999,0.8888888888888888,0.07514691592244689,12.5151047706604,1319808.1619194506
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.001,1,0.21251629726205998,0.7125683060109289,0.32739141350740647,38.63511610031128,258119.0431470375,260576.19944429625
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.001,1,0.21693548387096775,0.7361795292829776,0.33511897346455716, ,263033.355741555
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.001,1,0.6979909267660401,0.5885245901639344,0.6386006522383635,12.399390697479248,71031.29620591667,71788.76529469088
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.001,1,0.7012078830260648,0.6037219485495348,0.6488235294117648,12.469062566757202,72546.23438346507
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.0002,1,0.23039126478616925,0.6918032786885245,0.3456655290102389,35.78761577606201,215103.68166100638,217656.30322298408
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.0002,1,0.23252061670849766,0.7099069512862616,0.350303848750844, ,220208.92478496177
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.0002,1,0.4363831308077198,0.6672131147540984,0.527657735522904,11.131819486618042,105203.04752664981,106663.00443831067
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.0002,1,0.4349040139616056,0.6819923371647509,0.5311167945439045,11.14741325378418,108122.96134997153
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0005,0.0005,1,0.5308584686774942,0.6251366120218579,0.5741530740276036,35.841010093688965,108584.19522783662,110520.282550931
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0005,0.0005,1,0.5354545454545454,0.6447728516694033,0.585050906381922, ,112456.36987402537
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0005,0.0005,1,0.6791298436437797,0.5459016393442623,0.6052711299606179,11.157463550567627,62817.629830202386,63814.79197974174
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0005,0.0005,1,0.6790205162144275,0.5615763546798029,0.6147393648891551,11.131317853927612,64811.954129281105
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.0002,1,0.035761619670033364,0.855191256830601,0.0686523951570451,36.196088552474976,1471302.1304602996,1473240.1477619526
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.0002,1,0.03603068773403964,0.8637110016420362,0.069175635096333, ,1475178.1650636054
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.0002,1,0.07814992025518341,0.8300546448087431,0.14285042554191943,11.093877792358398,636987.2021818025,639758.219273593
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.0002,1,0.07909517973856209,0.8478379857690203,0.14469198075755452,11.04273247718811,642529.2363653837
1338,Cat_alg,0.5,5,250,20.0,Cat1,0.0001,0.0005,1,0.07757176063571004,0.7841530054644809,0.14117762801908604,35.82316589355469,664956.4842736272,667302.9093857291
1338,Cat_alg,0.5,5,250,20.0,Cat2,0.0001,0.0005,1,0.0786268592369045,0.7985769020251778,0.1431585144483148, ,669649.3344978311
1338,Direct_alg,0.5,5,250,20.0,Cat1,0.0001,0.0005,1,0.32156767283349563,0.7218579234972677,0.44493095318288983,11.13672423362732,154710.07434994332,156078.70227252974
1338,Direct_alg,0.5,5,250,20.0,Cat2,0.0001,0.0005,1,0.31981765834932824,0.7296113847837986,0.4447039199332778,11.079564332962036,157447.33019511617
