rd_seed,Alg,perturb_strength,t,p,n_by_p,Cat,nu_0,mu,gamma,precision,recall,F1,Time,bic,bic_mean
1338,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.0001,1,0.1105003365492483,0.7328869047619048,0.1920452329888867,36.43973422050476,303380.6196065553,302869.8814531709
1338,Cat_alg,0.1,5,250,20.0,Cat2,0.0005,0.0001,1,0.1095736303296208,0.7257824143070045,0.1904017202619489, ,302359.14329978655,
1338,Direct_alg,0.1,5,250,20.0,Cat1,0.0005,0.0001,1,0.248780487804878,0.7589285714285714,0.3747244673034533,11.38719391822815,140259.05840981577,140197.35004373715
1338,Direct_alg,0.1,5,250,20.0,Cat2,0.0005,0.0001,1,0.2505494505494505,0.7645305514157973,0.3774140150818467,11.34105920791626,140135.64167765854,
1338,Cat_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8119858989424207,0.5141369047619048,0.6296127562642369,36.603839635849,47451.27216263252,47408.66721205034
1338,Cat_alg,0.1,5,250,20.0,Cat2,0.0005,0.001,1,0.8147713950762017,0.5178837555886736,0.6332574031890661, ,47366.06226146816,
1338,Direct_alg,0.1,5,250,20.0,Cat1,0.0005,0.001,1,0.8708661417322835,0.4114583333333333,0.5588681152097018,11.392732858657837,31341.464935760087,31294.24477455423
1338,Direct_alg,0.1,5,250,20.0,Cat2,0.0005,0.001,1,0.8874801901743264,0.4172876304023845,0.5676634566649771,11.477504968643188,31247.02461334837,
1338,Cat_alg,0.1,5,250,20.0,Cat1,0.0001,0.0001,1,0.0192141277523156,0.8921130952380952,0.0376180466225331,36.93374514579773,2031438.336435932,2031421.02471215
1338,Cat_alg,0.1,5,250,20.0,Cat2,0.0001,0.0001,1,0.0191466521397785,0.8904619970193741,0.0374872559014979, ,2031403.7129883675,
1338,Direct_alg,0.1,5,250,20.0,Cat1,0.0001,0.0001,1,0.0300429184549356,0.890625,0.0581251365722193,11.368407249450684,1263541.2583431157,1263195.2369411015
1338,Direct_alg,0.1,5,250,20.0,Cat2,0.0001,0.0001,1,0.0299575622127916,0.8889716840536512,0.0579618608040811,11.391465902328491,1262849.215539087,
1338,Cat_alg,0.1,5,250,20.0,Cat1,0.0001,0.001,1,0.172103685417034,0.7261904761904762,0.2782608695652174,36.70946645736694,220072.3047643912,219574.5458055853
1338,Cat_alg,0.1,5,250,20.0,Cat2,0.0001,0.001,1,0.1722123893805309,0.7250372578241431,0.2783180778032036, ,219076.78684677943,
