rd_seed,L,p,N,Lamb1,Lamb2,tau_sq,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1994,10,250,5000,0.001,0.1,100,0.999456941033483,0.100362826886704,0.182308918250687,0.77142219442572,0.469985516393766,351357523.570587,56.207
1994,10,250,5000,0.001,0.1,91.1588829975082,0.999456941033483,0.100363082801819,0.182309362954283,0.771416180925766,0.46998102207601,351357537.959282,56.202
1994,10,250,5000,0.001,0.1,83.099419493534,0.999456941033483,0.100362382218494,0.18230822120568,0.771409587349414,0.469976092548236,351357553.741737,55.74
1994,10,250,5000,0.001,0.1,75.7525025877191,0.999456941033483,0.100362382218494,0.18230822120568,0.771402358073847,0.469970685738231,351357571.052774,55.579
1994,10,250,5000,0.001,0.1,69.0551352016233,0.999489706433221,0.100365885000365,0.182314561355793,0.771394432209829,0.469964755521155,351357590.040218,55.517
1994,10,250,5000,0.001,0.1,62.9498899022189,0.999489706433221,0.100366168778178,0.182315042316353,0.771385743116631,0.469958251332094,351357610.866148,55.657
1994,10,250,5000,0.001,0.1,57.384416483024,0.999453143361923,0.10036323653307,0.18230960980527,0.771376217875011,0.469951117742187,351357633.708256,55.603
1994,10,250,5000,0.001,0.1,52.3109930805626,0.999453143361923,0.100362633610702,0.182308602365661,0.771365776715184,0.469943293995015,351357658.761344,55.787
1994,10,250,5000,0.001,0.1,47.6861169771447,0.999419187504537,0.100359137684585,0.182302251623441,0.771354332396611,0.469934713499644,351357686.238959,55.599
1994,10,250,5000,0.001,0.1,43.4701315812502,0.999419187504537,0.100358466592578,0.182301150604062,0.771341789536347,0.469925303276456,351357716.375177,55.5889999999999
1994,10,250,5000,0.001,0.1,39.6268863870148,0.999419187504537,0.100358687628196,0.182301546712304,0.771328043882647,0.469914983351616,351357749.426562,55.8870000000001
1994,10,250,5000,0.001,0.1,36.1234269970943,0.999353445251729,0.100352238919706,0.182289808378364,0.771312981530531,0.469903666095594,351357785.674301,55.635
1994,10,250,5000,0.001,0.1,32.9297125509715,0.999415383932435,0.100357667197622,0.182299811530315,0.771296478076047,0.469891255500947,351357825.426541,55.5780000000001
1994,10,250,5000,0.001,0.1,30.0183581357559,0.999415383932435,0.100357074432599,0.182298816410052,0.7712783977061,0.4698776463941,351357869.020939,55.563
1994,10,250,5000,0.001,0.1,27.3643999707467,0.99938142807505,0.100351963978568,0.182289801286546,0.771258592220941,0.469862723575557,351357916.827451,55.5699999999999
1994,10,250,5000,0.001,0.1,24.9450813523032,0.999349641679627,0.10034842892742,0.182283432742054,0.771236899986697,0.46984636088252,351357969.251376,56.043
1994,10,250,5000,0.001,0.1,22.7396575235793,0.999379044796357,0.100352208927613,0.182290185357541,0.771213144815809,0.469828420167612,351358026.73667,56.6940000000001
1994,10,250,5000,0.001,0.1,20.7292177959537,0.999444575595833,0.100358860260431,0.182302291555372,0.771187134773824,0.469808750186867,351358089.769569,56.8430000000001
1994,10,250,5000,0.001,0.1,18.8965233969121,0.999412307122132,0.100358072963255,0.182300397545441,0.771158660911788,0.469787185389878,351358158.882535,56.991
1994,10,250,5000,0.001,0.1,17.2258596539879,0.999379541722394,0.100355044951197,0.182294793856767,0.771127495924524,0.469763544604533,351358234.658548,57.1079999999999
1994,10,250,5000,0.001,0.1,15.7029012472938,0.999479202121355,0.100364720485312,0.182312417007743,0.77109339273633,0.469737629608469,351358317.735789,57.1019999999999
1994,10,250,5000,0.001,0.1,14.3145893752348,0.999446933647654,0.100362254313995,0.182307772970007,0.771056083017224,0.469709223579012,351358408.812721,57.923
1994,10,250,5000,0.001,0.1,13.049019780144,0.999419552210834,0.10036236594502,0.182307487034795,0.771015275634802,0.469678089413104,351358508.653618,58.0060000000001
1994,10,250,5000,0.001,0.1,11.8953406737032,0.999419552210834,0.100362509791545,0.182307781593745,0.770970655049069,0.469643967908531,351358618.094564,57.4119999999998
1994,10,250,5000,0.001,0.1,10.8436596868961,0.999243495614377,0.100346867942336,0.182279011222188,0.770921879660399,0.469606575797629,351358738.049962,58.075
1994,10,250,5000,0.001,0.1,9.88495904662559,0.999243495614377,0.100346912194744,0.182279073708037,0.770868580124031,0.469565603624651,351358869.519586,57.5739999999998
1994,10,250,5000,0.001,0.1,9.01101825166502,0.999247095146415,0.100344140480807,0.182274613708337,0.770810357648308,0.469520713458094,351359013.5962,57.03
1994,10,250,5000,0.001,0.1,8.21434358491943,0.99924807415073,0.100342708190231,0.182272306224596,0.77074678229826,0.469471536429707,351359171.473813,56.9259999999999
