rd_seed,n/p,p,lambda(thest),mu0(sparsity),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1338,15,2000,1.000000e-04,1.000000e-04,1.000000e+00,1192550317.685,0.776,0.665,0.717,93.190,0.909,26.537 
1338,15,2000,5.000000e-04,1.000000e-04,1.000000e+00,1199355046.839,0.257,0.930,0.402,93.190,0.910,23.614 
1338,15,2000,1.000000e-03,1.000000e-04,1.000000e+00,1205426270.413,0.059,0.965,0.112,93.190,0.911,23.542 
1338,15,2000,5.000000e-03,1.000000e-04,1.000000e+00,1207037062.343,0.000,NaN,NaN,93.190,0.911,22.976 
1338,15,2000,1.000000e-04,2.000000e-04,1.000000e+00,1191934419.057,0.775,0.668,0.718,93.199,0.909,24.518 
1338,15,2000,5.000000e-04,2.000000e-04,1.000000e+00,1198692904.877,0.256,0.931,0.401,93.199,0.911,23.687 
1338,15,2000,1.000000e-03,2.000000e-04,1.000000e+00,1204667489.426,0.059,0.963,0.111,93.199,0.911,23.922 
1338,15,2000,5.000000e-03,2.000000e-04,1.000000e+00,1206203481.148,0.000,NaN,NaN,93.199,0.912,23.285 
1338,15,2000,1.000000e-04,5.000000e-04,1.000000e+00,1190673743.849,0.773,0.671,0.719,93.222,0.911,24.674 
1338,15,2000,5.000000e-04,5.000000e-04,1.000000e+00,1197301746.146,0.248,0.930,0.392,93.222,0.912,24.534 
1338,15,2000,1.000000e-03,5.000000e-04,1.000000e+00,1203033730.419,0.050,0.969,0.096,93.222,0.913,24.919 
1338,15,2000,5.000000e-03,5.000000e-04,1.000000e+00,1204409664.961,0.000,NaN,NaN,93.222,0.913,23.308 
1338,15,2000,1.000000e-04,1.000000e-03,1.000000e+00,1189672898.973,0.762,0.672,0.714,93.248,0.912,24.769 
1338,15,2000,5.000000e-04,1.000000e-03,1.000000e+00,1196168824.450,0.239,0.928,0.379,93.248,0.914,23.842 
1338,15,2000,1.000000e-03,1.000000e-03,1.000000e+00,1201634305.901,0.050,0.968,0.095,93.248,0.914,24.434 
1338,15,2000,5.000000e-03,1.000000e-03,1.000000e+00,1202816325.618,0.000,NaN,NaN,93.248,0.914,23.448 
1338,15,2000,1.000000e-04,1.000000e-02,1.000000e+00,1190593542.324,0.603,0.646,0.623,93.383,0.917,25.637 
1338,15,2000,5.000000e-04,1.000000e-02,1.000000e+00,1196704487.062,0.158,0.932,0.270,93.383,0.918,23.281 
1338,15,2000,1.000000e-03,1.000000e-02,1.000000e+00,1200391666.551,0.020,0.975,0.039,93.383,0.918,23.243 
1338,15,2000,5.000000e-03,1.000000e-02,1.000000e+00,1200735998.346,0.000,NaN,NaN,93.383,0.918,21.619 
