rd_seed,L,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime(s)
1994,10,250,5000,100,0.1,0,NA,NA,0.385738645854353,1,Inf,30.578
1994,10,250,5000,93.2930402628469,0.1,0,NA,NA,0.385738645854353,1,Inf,30.083
1994,10,250,5000,87.0359136148516,0.1,0,NA,NA,0.385738645854353,1,Inf,30.339
1994,10,250,5000,81.1984499318401,0.1,0,NA,NA,0.385738645854353,1,Inf,29.918
1994,10,250,5000,75.7525025877191,0.1,0,NA,NA,0.385738645854353,1,Inf,29.991
1994,10,250,5000,70.6718127392749,0.1,0,NA,NA,0.385738645854353,1,Inf,29.542
1994,10,250,5000,65.9318827133355,0.1,0,NA,NA,0.385738645854353,1,Inf,30.15
1994,10,250,5000,61.509857885805,0.1,0,NA,NA,0.385738645854353,1,Inf,29.87
1994,10,250,5000,57.384416483024,0.1,0,NA,NA,0.385738645854353,1,Inf,29.803
1994,10,250,5000,53.5356667741072,0.1,0,NA,NA,0.385738645854353,1,Inf,29.546
1994,10,250,5000,49.9450511585514,0.1,0,NA,NA,0.385738645854353,1,Inf,29.575
1994,10,250,5000,46.5952566866468,0.1,0,NA,NA,0.385738645854353,1,Inf,29.798
1994,10,250,5000,43.4701315812502,0.1,0,NA,NA,0.385738645854353,1,Inf,29.651
1994,10,250,5000,40.5546073584083,0.1,0,NA,NA,0.385738645854353,1,Inf,29.625
1994,10,250,5000,37.8346261713193,0.1,0,NA,NA,0.385738645854353,1,Inf,29.574
1994,10,250,5000,35.2970730273065,0.1,0,NA,NA,0.385738645854353,1,Inf,29.698
1994,10,250,5000,32.9297125509715,0.1,0,NA,NA,0.385738645854353,1,Inf,29.736
1994,10,250,5000,30.7211299886176,0.1,0,NA,NA,0.385738645854353,1,Inf,29.659
1994,10,250,5000,28.6606761694825,0.1,0,NA,NA,0.385738645854353,1,27097272.906392,29.7410000000001
1994,10,250,5000,26.7384161583995,0.1,0,NA,NA,0.385738645854353,1,22866771.8049057,29.6849999999999
1994,10,250,5000,24.9450813523032,0.1,0,NA,NA,0.385738645854353,1,20290575.4322904,29.33
1994,10,250,5000,23.2720247896041,0.1,0,NA,NA,0.385738645854353,1,18533505.4831946,29.461
